,stop_name,type,in_lines,location,identifier,previous_in_lines,stop_description
248,U-Bhf. Tierpark,bus,"{'96', '94', '53'}","52.497052283755544, 13.523844554479213",nan,"['53', '94', '96']+ {'94', '96', '53'}+ {'53', '94', '96'}",
249,Uckermarkstrasse,bus,{'60'},"52.52145144349922, 13.596724604247981",nan,['60']+ {'60'}+ {'60'},
250,Universitätsstrasse,bus,{'57'},"52.51728971954308, 13.39265161791291",nan,{'57/E'},
251,VEB Kombinat Auto Trans,bus,"{'62', '67'}","52.442947642563354, 13.519478957220752",nan,"['62', '67']+ {'62', '67'}+ {'62', '67'}",
252,Volkradstrasse,bus,{'96'},"52.50345392170722, 13.510019662040241",nan,{'96'}+ {'96'},
253,Vulkanstrasse,bus,{'56'},"52.53363474159389, 13.484988714739918",nan,{'56'},
254,Waldowallee,bus,{'96'},"52.489915686840135, 13.527955282597574",nan,{'96'}+ {'96'},
255,Waldschänke,bus,{'61'},"52.443318139967566, 13.68593963431219",nan,['61']+ {'61'}+ {'61'},
256,Wallensteinstrasse,bus,{'97'},"52.490277608649485, 13.508649619660412",nan,{'97'},
257,Waltersdorf,bus,{'38'},"52.36492901110609, 13.555712408051676",nan,['38']+ {'38'}+ {'38'},
258,Waltersdorfer Strasse,bus,{'38'},"52.39008715591465, 13.57105538440934",nan,{'38'}+ {'38'},
259,Warschauer Strasse,bus,{'30'},"52.51247497808466, 13.45259143436154",nan,"{'30', '34'}+ {'34', '30'}",
260,"Wartenberg, Siedlung",bus,{'39'},"52.58393195902164, 13.53076033685478",nan,{'39'}+ {'39'},
261,Weitlingstrasse,bus,"{'35', '30', '96', '43'}","52.500986592433065, 13.492951866603294",nan,"['30', '43', '96']+ {'96', '43', '30', '35'}+ {'35', '43', '96', '30'}",
262,Werner-Lamberz-Strasse,bus,"{'35', '8'}","52.51025984486506, 13.532514321243404",nan,"{'8', '54', '35'}+ {'35', '8'}",
263,Wernerbad,bus,{'60'},"52.51776756999088, 13.607950781560175",nan,['60']+ {'60'}+ {'60'},
264,Wigandstaler Strasse,bus,{'56'},"52.557841348022755, 13.444316939868218",nan,"{'56'}+ {'56', '56E'}",
265,"Wilhelmsruh, Schillerstrasse",bus,{'45'},"52.58796525493634, 13.368781651322008",nan,['45']+ {'45'}+ {'45'},
266,Wollenberger Strasse,bus,{'39'},"52.550793971171124, 13.511763385624882",nan,{'39'},
267,Zentralschule,bus,{'61'},"52.43465069286089, 13.703692212644038",nan,['61']+ {'61'}+ {'61'},
268,"Zepernick, Kirche",bus,{'51'},"52.65490229314837, 13.542260763377884",nan,['51']+ {'51'}+ {'51'},
269,Zepernicker Strasse,bus,{'51'},"52.6443665848066, 13.523488908135207",nan,{'51'}+ {'51'},
270,Zimmermannstrasse,bus,{'35'},"52.486610959320956, 13.5603667983302",nan,['35']+ {'35'}+ {'35'},
271,Zwieseler Strasse,bus,{'94'},"52.49612228648307, 13.540160888423404",nan,{'94'}+ {'94'},
