,stop_id,stop_name,type,location,in_lines,identifier
130,1963130,Hauptstrasse Ecke Edelweißstrasse,Autobus,"52.586379262142074, 13.36752938856218","['A 55', 'A 45']",
131,1963131,Hauptstrasse Ecke Hertzstrasse,Autobus,"52.58936172371789, 13.369900800420519",['A 58'],
132,1963132,Hauptstrasse/Berliner Strasse,strassenbahn,"52.54899316592503, 13.501757745807819","['63'], ['64']",", "
133,1963133,Hauptstrasse/Suermondstrasse,strassenbahn,"52.54899316592503, 13.501757745807819",['70'],
134,1963134,"Heinersdorf, Kirche",Autobus,"52.568251990817764, 13.440484539756532",['A 42'],
135,1963135,"Heinersdorf, Kirche",strassenbahn,"52.5686908,13.4389053",['71'],Q65096107
136,1963136,"Heinersdorf, Romain-Rolland-Strasse",strassenbahn,"52.5725511,13.4371063",['71'],Q65096052
137,1963137,Heinersdorf/Kirche,Autobus,"52.56826376476754, 13.440601903603064",['A 55'],
138,1963138,Heinrich-Heine-Strasse,strassenbahn,"52.51099529411967, 13.416420239383946",['64'],
139,1963139,Heinrich-Heine-Strasse Ecke Schmidtstrasse,strassenbahn,"52.510985527920624, 13.416475371446467",['11'],
140,1963140,Heinrich-Mann-Platz,Autobus,"52.57297246262195, 13.392146133350426","['A 55', 'A 58', 'A 45']",
141,1963141,"Hessenwinkel, Lindenstrasse",Autobus,"52.42653518647879, 13.728458969026482",['A 22'],
142,1963142,Hirschgarten,strassenbahn,"52.4518533,13.6006245","['84', '87']",Q66360740
143,1963143,Hirtestrasse,strassenbahn,"52.4590446,13.5838302",['86'],Q66459446
144,1963144,Hochschule für Ökonomie,strassenbahn,"52.4927681,13.5266059",['69'],Q65952866
145,1963145,"Hohenschönhausen, Falkenberger Strasse",Autobus,"52.550229554941964, 13.509585042301534",['A 39'],
146,1963146,"Hohenschönhausen, Falkenberger Strasse",strassenbahn,"52.5508672,13.5094994","['70', '64']",Q65555882
147,1963147,"Hohenschönhausen, Gartenstadt",strassenbahn,"52.5508672,13.5094994",['63'],Q65555882
