stop_name,type,line_name,stop_id,location,identifier,latitude,longitude,match_score,matched_name,matched_stop_id,matched_historical_lines,location_from
Breitenbachplatz,u-bahn,A II,19641173_west,"52.46638889,13.30805556",,52.46638889,13.30805556,100,Breitenbachplatz,19651333_west,['A II'],
Podbielskiallee,u-bahn,A II,19641174_west,"52.46444444,13.29638889",,52.46444444,13.29638889,100,Podbielskiallee,19651334_west,['A II'],
Dahlem-Dorf,u-bahn,A II,19641175_west,"52.45694444,13.28944444",,52.45694444,13.28944444,100,Dahlem-Dorf,19651335_west,['A II'],
Thielplatz,u-bahn,A II,19641176_west,"52.45111111,13.28222222",,52.45111111,13.28222222,100,Thielplatz,19651336_west,['A II'],
Oskar-Helene-Heim,u-bahn,A II,19641177_west,"52.45027778,13.26972222",,52.45027778,13.26972222,100,Oskar-Helene-Heim,19651337_west,['A II'],
Onkel Toms Hütte,u-bahn,A II,19641178_west,"52.45027778,13.25333333",,52.45027778,13.25333333,100,Onkel Toms Hütte,19651338_west,['A II'],
Krumme Lanke,u-bahn,A II,19641179_west,"52.44333333,13.24138889",,52.44333333,13.24138889,100,Krumme Lanke,19651339_west,['A II'],
Deutsche Oper (bismarckstr.),u-bahn,A III,19641180_west,"52.51194444,13.31055556",,52.51194444,13.31055556,100,Deutsche Oper (Bismarckstr.),19651340_west,['A III'],
Richard-Wagner-Platz,u-bahn,A III,19641181_west,"52.5175,13.30638889",,52.5175,13.30638889,100,Richard-Wagner-Platz,19651341_west,['A III'],
Nollendorfplatz,u-bahn,B I,19641182_west,"52.499166666667,13.353888888889",Q571039,,,,,,,1964840.0
Bayerischerplatz,u-bahn,B I,19641183_west,"52.48833333,13.34027778",,52.48833333,13.34027778,100,Bayerischerplatz,19651343_west,['B I'],
Innsbruckerplatz,u-bahn,B I,19641184_west,"52.4786,13.3439",,52.4786,13.3439,100,Innsbruckerplatz,19651344_west,['B I'],
Wittenbergplatz,u-bahn,B III,19641185_west,"52.501944444444,13.343055555556",Q692727,,,,,,,19641421.0
Kurfürstendamm,u-bahn,B III,19641186_west,"52.504166666667,13.332777777778",Q663933,,,,,,,1964652.0
Tegel,u-bahn,C I,19641187_west,"52.58944,13.28389",,52.58944,13.28389,100,Tegel,19651348_west,['C I'],
Borsigwerke,u-bahn,C I,19641188_west,"52.5819,13.2907",,52.5819,13.2907,100,Borsigwerke,19651349_west,['C I'],
Holzhauser Str.,u-bahn,C I,19641189_west,"52.57583333,13.29611111",,52.57583333,13.29611111,100,Holzhauser Str.,19651350_west,['C I'],
Seidelstr. (flughafen Tegel),u-bahn,C I,19641190_west,"52.571111,13.302778",,52.571111,13.302778,100,Seidelstr. (Flughafen Tegel),19651351_west,['C I'],
Scharnweberstr. (eichborndamm),u-bahn,C I,19641191_west,"52.56694444,13.31277778",,52.56694444,13.31277778,100,Scharnweberstr. (Eichborndamm),19651352_west,['C I'],
Kurt-Schumacher-Platz,u-bahn,C I,19641192_west,"52.56355556,13.32657222",,52.56355556,13.32657222,100,Kurt-Schumacher-Platz,19651353_west,['C I'],
Afrikanische Str.,u-bahn,C I,19641193_west,"52.56002778,13.33463333",,52.56002778,13.33463333,100,Afrikanische Str.,19651354_west,['C I'],
Rehberge,u-bahn,C I,19641194_west,"52.5567,13.3412",,52.5567,13.3412,100,Rehberge,19651355_west,['C I'],
Seestr.,u-bahn,C I,19641195_west,"52.55056,13.35194",,52.55056,13.35194,100,Seestr.,19651356_west,['C I'],
Leopoldplatz,u-bahn,C I,19641196_west,"52.5465,13.3591",,52.5465,13.3591,100,Leopoldplatz,19651357_west,['C I'],
Bahnhof Wedding,u-bahn,C I,19641197_west,"52.5425,13.366111",,52.5425,13.366111,100,Bahnhof Wedding,19651358_west,['C I'],
Reinickendorfer Str.,u-bahn,C I,19641198_west,"52.53991111,13.37037778",,52.53991111,13.37037778,100,Reinickendorfer Str.,19651359_west,['C I'],
Bahnhof Friedrichstr. (stadtbahn),u-bahn,C I,19641199_west,"52.52011111,13.38830556",,52.52011111,13.38830556,100,Bahnhof Friedrichstr. (Stadtbahn),19651360_west,['C I'],
