line_name,type,east-west,Stops,Frequency,Length (time),Length (km),year,Route
33,bus,West,U-Bhf. Breitenbachplatz - Björnsonstrasse - Gritznerstrasse - Lepsiusstrasse - U-Bhf. Schloßstrasse - Steglitzer Kreuz - Filandastrasse - Südendstrasse - Klingsorstrasse - Bismarckstrasse - Munsterdamm - Liebenowzeile - Buhrowstrasse - Attilastrasse - Kurfürstenstrasse - Gersdorfstrasse - Rathausstrasse - U-Bhf. Westphalweg - Eisenacherstrasse - Kollostrasse - Kosleckweg - Mariendorf Rixdorferstrasse Ecke Dirschelweg,10,29,,1980,
34,bus,Ost,U-Bhf. Marchlewskistrasse - S-Bhf. Warschauerstrasse - Rochowstrasse - Markgrafendamm - Friedrich-Junge-Strasse - Alt-Stralau,20,17,,1980,Kein Verkehr zwischen 7.32 und 13.45
34,bus,West,"Spandau, Wasserwerk - Zeppelinstrasse - Wröhmännerpark - Carl-Schurz-Strasse - Spandau, Markt - Rathaus Spandau - Brunsbütteler Damm - Seeburgerstrasse - Weißenburgerstrasse - Adamstrasse - Heerstrasse - Jaczostrasse - Gatowerstrasse - Sandheideweg - Weinmeisterhornweg - Gatowerstrasse ""Biberburg"" - Gatow, Kirche - Groß-Glienicker Weg - Breitehornweg/Krankenhaus - Flugplatz, Haupteingang - Havelhöhe, Krankenhaus - Kladow, Ritterfelddamm - Schweizerhaus - Seekorso - Glienicke Gutshof",20,52,,1980,
34E,bus,West,Alt-Gatow - Groß-Glienicker Weg - zum Dorf Gatow - Habichtswald,18,8,,1980,
35,bus,Ost,"Biesdorf-Süd, Köpenickerstrasse - Zimmermannstrasse - Grabensprung - Elsterwerdaer Platz - Oberfeldstrasse - Rhinstrasse - U-Bhf. Friedrichsfelde - Lincolnstrasse - S-Bhf. Nöldnerplatz",20,32,,1980,
35,bus,West,"U-Bhf. Ruhleben - Krematorium Ruhleben - Güterbahn Ruhleben - Teltowerstrasse - Pichelsdorferstrasse - Adamstrasse - Wilhelmstrasse - Am Omnibushof - Gatowerstrasse - Sandheideweg - Weinmeisterhornweg - Zur Haveldüne - Gatowerstrasse ""Biberburg"" - Ortsgrenze Gatow - Gatow Kirche - Groß-Glienicker Weg - Am Graben - Straße zur Badewiese - Breitehornweg/Krankenhaus - Flugplatz, Haupteingang - Havelhöhe, Krankenhaus - Finnensiedlung - Ritterfelddamm/Alt-Kladow - Krampnitzer Weg - Kladow Hottengrund",20,35,,1980,
35E,bus,West,Kladow - Sakrower Landstrasse - Grimmelshausenstrasse - Krampnitzer Weg - Pottensteiner Weg - Altenheim Hottengrund,42,7,,1980,
36,bus,Ost,"S-Bhf. Grünau - Gartenstadtweg - Bohnsdorf, Kirche - S-Bhf. Grünbergallee - Bhf. Schönefeld - Flughafen, Inland",10,18,,1980,
361,bus,Ost,Flughafen Schönefeld - Bahnhof - Hotel - Flughafen Schönefeld,20,9,,1980,
38,bus,Ost,"S-Bhf. Grünau - Eichbuschplatz - Waltersdorferstrasse - Bohnsdorf, Waldstrasse - Waltersdorf - Mitschurinweg - Diepensee",60,25,,1980,
39,bus,Ost,Wartenberg - Lindenbergerstrasse - Falkenberger Chaussee - Arnimstrasse - Falkenbergerstrasse,20,21,,1980,
4,bus,West,"Neu-Westend, Brixplatz - U-Bhf. Neu-Westend - U-Bhf. Theodor-Heuss-Platz - Ausstellungshallen - ICC/Omnibusbahnhof - ICC/Ausstellungshallen - Kurfürstendamm/Rathenauplatz - Henriettenplatz - Joachim-Friedrich-Strasse - Hochmeisterplatz - U-Bhf. Fehrbelliner Platz - U-Bhf. Blissestrasse - U-Bhf. Berlinerstrasse - John-F-Kennedy-Platz - Hauptstrasse - Kaiser-Wilhem-Platz - Katzbach-/Boelckestrasse - Platz der Luftbrücke - Friesenstrasse - Hermannstrasse/U-Bhf. Boddinstrasse - Kienitzerstrasse - U-Bhf. Karl-Marx-Strasse - Erkstrasse/U-Bhf. Rathaus Neukölln - Sonnenallee - Neukölln, Teupitzerstrasse",12,65,,1980,
4,strassenbahn,Ost,Eberswalderstrasse - U-Bhf. Dimitroffstrasse - Prenzlauer Allee - Greifswalderstrasse - Artur-Becker-Strasse - Leninallee - Frankfurter Tor - Grünbergerstrasse - S-Bhf. Warschauerstrasse,15,25,,1980,
40,bus,Ost,Robert-Koch-Platz - Oranienburger Tor - Rosenthaler Platz -  U-Bhf. Rosa-Luxemburg-Platz - Am Friedrichshain - Leninplatz - Karl-Marx-Allee - Ostbahnhof,7.5,21,,1980,
41,bus,Ost,"Neu-Lindenberg - Lindenberg, Dorf - Malchow, Dorf - Feldtmannstrasse - Rennbahnstrasse - Falkenbergerstrasse - Straße nach Wartenberg - Bhf. Ahrensfelde - Ahrensfelde, Kirche",30,39,,1980,
