,stop_name,type,in_lines,location,identifier,previous_in_lines,stop_description
1382,Siemensdamm,u-bahn,{'7'},"52.536666666667,13.273055555556",Q663264,['7'],
1383,Siemensstrasse,bus,"{'30', '86', '32'}","52.44244114357029, 13.332070210084323+52.446947284872806, 13.34242667222804",nan,"['86']+ ['30', '32']",
1384,Simon-Dach-Strasse,strassenbahn,{'3'},,,,
1385,Simpsonweg,bus,{'82'},,,,
1386,Skarbinastrasse,bus,{'79'},"52.393155927101944, 13.41978378646985",nan,['79'],
1387,Skladanowskystrasse,strassenbahn,{'22'},,,,
1388,Sodener Strasse,bus,{'60'},,,,
1389,Soldiner Strasse,bus,"{'79', '61', '70'}",,,,
1390,Sonnenallee,bus,"{'95', '41', '4', '65', '47'}",,,,
1391,Sonnenallee Ecke Peter-Anders-Strasse,bus,{'95'},"52.4634218836755, 13.474897765570992",nan,['95'],
1392,Sophie-Charlotte-Platz,u-bahn,{'1'},"52.510833333333,13.296666666667",Q657879,['1'],
1393,Sophie-Charlotte-Strasse,bus,"{'18', '3'}","52.44597915575293, 13.267817468250367",nan,['18'],
1394,Sophie-Charlotten-Strasse,bus,"{'54', '74', '87'}",,,,
1395,Spandau Freudstrasse,bus,{'99'},"52.55455996843636, 13.149457896629317",nan,['99'],
1396,Spandau Hakenfelde,bus,{'56'},"52.58761803115145, 13.202711479788642","nan, nan","['56'], ['55']",
1397,Spandau Johannesstift,bus,{'54'},"52.5676212367215, 13.191821084054606",nan,['54'],
1398,Spandau Seegefelder Weg,bus,{'63'},"52.54629010550862, 13.143898499972583",nan,['63'],
1399,Spandau Waldkrankenhaus,bus,{'63'},"52.56214542863615, 13.158340085815741",nan,['63'],
1400,Spandau Weinmeisterhornweg,bus,{'13'},"52.51101308460907, 13.171633998371306",nan,['13'],
1401,"Spandau, Markt",bus,"{'5', '56', '31'}","52.537581553341596, 13.203797305616401",nan,"['80', '97', '34', '5', '31', '56']",
1402,"Spandau, Nervenklinik",bus,{'5'},"52.56217026461621, 13.158338427085043",nan,['5'],
1403,"Spandau, Wasserwerk",bus,{'34'},"52.55592684238338, 13.16783600781684",nan,['34'],
1404,Spandauer Damm,bus,"{'10', '65', '74'}",,,,
1405,Spandauer Strasse,bus,"{'9', '31'}",,,,
1406,Spandauer-Damm-Brücke,bus,"{'54', '74'}",,,,
1407,Spanische Allee,bus,"{'18', '3'}","52.42962440562551, 13.2239509421476",nan,"['18', '3']",
1408,Spekteweg,bus,{'5'},"52.54158887646953, 13.18330851248049",nan,['5'],
