,stop_id,stop_name,type,in_lines,location,identifier,stop_id_1961,previous_in_lines,stop_description
217,218,Buschkrug Alle Ecke Blaschko-Allee,bus,A73,"52.452543995347135, 13.452160354904555",nan,239,A73,nan
218,219,"Bölschestrasse, Brauerei",strassenbahn,"84,87","52.44699265840037, 13.624251999339991
",nan,240,87,nan
219,220,Bötzowbahn,bus,A63,"52.560942294746425, 13.171763262130519",nan,241,A63,nan
220,221,Bühler Weg,bus,A52,"52.41724643282917, 13.412638052235238
",nan,242,A52,nan
221,222,Bülowstrasse Ecke Potsdamer Strasse,bus,A83,,,,,
222,223,Bürgerwäldchen,strassenbahn,83,"52.4893741,13.6064139",Q66364551,244,83,nan
223,224,Bürknersfelde,bus,A43,"52.549540493749184, 13.586689708671303
",nan,245,"A43,O37",nan
224,225,Canovastrasse,bus,AS2s,"52.46306323889937, 13.342852729949465",nan,246,AS2,Canovastrasse Ecke Thorwaldsenstrasse
225,226,Carl-Schurz-Strasse Ecke Am Juliusturm,strassenbahn,55,,,,,
226,227,Carl-Schurz-Strasse Ecke Neundorfer Strasse,bus,A13,,,,,
227,228,Carl-Schurz-Strasse Ecke Seegefelder Strasse,bus,A99,,,,,
228,229,Cauerstrasse,bus,AS1s,"52.51470519737728, 13.315222708879112",nan,250,AS1,Cauerstrasse Ecke Otto-Suhr-Allee
229,230,Cauerstrasse Ecke Wilmersdorferstrasse,bus,A86,,,,,
230,231,Charlottenburg,s-bahn,"KBS 100h,KBS 100g,KBS 100k","52.504722222222,13.303333333333",Q111326217,253,"KBS 101,KBS 102",S-Bahnhof Berlin Charlottenburg
231,232,Charlottenstrasse,strassenbahn,72,,,,,
232,233,Chausseestrasse,strassenbahn,82,,,,,
233,234,Chemische Fabrik,strassenbahn,86,"52.42696432509712, 13.573540465650169",nan,255,86,Chemische Fabrik
234,235,Chemnitzer Ecke Ulmenstrasse,bus,"A8,A8E","52.48730504728054, 13.5749460378103",nan,256,"A8,A8E",Chemnitzer Ecke Ulmenstrasse
235,236,Chemnitzer Strasse Ecke Alt-Kaulsdorf,bus,A27,"52.505156423214295, 13.58155740370254",nan,257,A27,nan
