,stop_id,stop_name,type,in_lines
179,180,Hohenschöpping,s-bahn,{'KBS 105'}
180,181,Hoppegarten (Mark),s-bahn,{'KBS 101'}
181,182,Hultschiner Damm,bus,{'A8'}
182,183,Humannplatz,strassenbahn,{'70'}
183,184,"Hönow, Dorfstrasse",bus,{'A44'}
184,185,Invalidenstrasse Ecke Chausseestrasse,strassenbahn,{'1'}
185,186,Jannowitzbrücke,s-bahn,"{'KBS 101', 'KBS 102', 'KBS 103'}"
186,187,Joachimstrasse,bus,{'A38'}
187,188,"Johannisthal, Haeckelstrasse",strassenbahn,{'69'}
188,189,Johannisthaler Chaussee,bus,{'A47'}
189,190,"Jüdenstrasse, Molkenmarkt",strassenbahn,{'71'}
190,191,Kali-Chemie,strassenbahn,"{'92', '95'}"
191,192,Karlshorst,s-bahn,{'KBS 102'}
192,193,Karlshorster Strasse,strassenbahn,{'13'}
193,194,Karolinenhof Mitte,strassenbahn,{'86'}
194,195,Karow,s-bahn,{'KBS 106'}
195,196,"Karow, Bahnhofstrasse",bus,{'A42'}
196,197,Karower Strasse Ecke Alt-Buch,bus,{'A42'}
197,198,Kaulsdorf,s-bahn,{'KBS 101'}
198,199,"Kaulsdorf, Bausdorfstrasse",bus,{'A49'}
199,200,Kinderheim,bus,{'A82P'}
200,201,Klein Ziethen,bus,{'AZ'}
201,202,Klement-Gottwald-Allee Ecke Indira-Ghandi-Strasse,strassenbahn,{'3'}
202,203,Klement-Gottwald-Allee Ecke Rennbahnstrasse,bus,"{'A45', 'A46'}"
203,204,Klement-Gottwald-Allee Ecke Rennbahnstrasse,strassenbahn,"{'72', '74', '74E'}"
204,205,"Klingenberg, Blockdammweg",strassenbahn,"{'13', '82'}"
205,206,Klosterstr.,u-bahn,{'A'}
206,207,Klosterstrasse,bus,{'O30'}
207,208,Kniprodestrasse,strassenbahn,"{'13', '4'}"
208,209,Kniprodestrasse Ecke Ermländische Strasse,bus,{'A57'}
209,210,"Kolonie ""Land in Sonne""",bus,{'A39'}
210,211,Konsum Wernsdorf,bus,{'Schmöckwitz<>Ziegenhals (VEB Kraftverkehr Schöneiche-Rüdersdorf)'}
211,212,Konsum Ziegenhals,bus,{'Schmöckwitz<>Ziegenhals (VEB Kraftverkehr Schöneiche-Rüdersdorf)'}
212,213,Kopernikusstrasse Ecke Warschauer Strasse,strassenbahn,"{'3', '4'}"
213,214,Kosterstrasse,bus,{'O30'}
214,215,Kraftwerk Klingenberg,strassenbahn,"{'13', '82'}"
215,216,Krankenhaus Köpenick,strassenbahn,{'95'}
216,217,Kurische Strasse,bus,{'A9'}
217,218,Kurt-Fischer-Platz,bus,{'A7'}
218,219,Kurt-Fischer-Platz,strassenbahn,"{'46', '22'}"
219,220,Köllnischer Platz,strassenbahn,"{'86', '84'}"
220,221,Königs Wusterhausen,s-bahn,{'KBS 103'}
221,222,Königstor,bus,"{'A57', 'A9', 'O40'}"
222,223,Königstor,strassenbahn,"{'74', '74E'}"
223,224,Köpenick,s-bahn,{'KBS 102'}
224,225,"Köpenick, Krankenhaus",bus,{'A27'}
225,226,Köpenicker Landstrasse Ecke Baumschulenstrasse,strassenbahn,{'87'}
