Column,stop_name,type,in_lines,location,identifier,coordinate location,previous_in_lines,stop_description
1352,Ottomar-Geschke-Strasse,strassenbahn,{'84'},"52.4418687,13.5594516",Q66363524,,{'84'}+ {'84'},
1353,Ottostrasse,bus,{'90'},"52.52678057504869, 13.335538710455209",,,['70']+ {'70'}+ {'70'},
1354,Pacelliallee,bus,{'10'},"52.46985314942628, 13.289594790421352",,,,
1355,Packereigraben,bus,{'21'},"52.599823799171354, 13.361049739081603",,,,
1356,Pallasstrasse,bus,"{'83', '87'}","52.49435052575621, 13.361038930251564",,,,
1357,Pankow,s-bahn,"{'141', '140', '143', '142'}","52.5667,13.4111",Q653775,,"['KBS 141', 'KBS 140', 'KBS 142', 'KBS 143']+ {'141', '140', '143', '142'}+ {'143', '141', '142', '140'}",
1358,Pankow (Vinetastrasse),u-bahn,{'A'},"52.559166666667,13.413333333333",Q570906,,['A'],
1360,"Pankow, Kirche",bus,"{'7', '109'}","52.57124680898358, 13.410670715665145",,,,
1361,"Pankow, Kirche",strassenbahn,"{'120', '121', '46', '49', '22'}","52.5706452,13.4103115",Q65055066,"52.5706452,13.4103115",,
1362,"Pankow, Rathaus",strassenbahn,"{'120', '22', '46', '121'}","52.5694816,13.4038045",Q65055060,"52.5694816,13.4038045",,
1363,Pankow-Heinersdorf,s-bahn,"{'141', '140', '143', '142'}","52.5780653,13.4295093",Q4892366,,"['KBS 141', 'KBS 140', 'KBS 142', 'KBS 143']+ {'141', '140', '143', '142'}+ {'143', '141', '142', '140'}",
1364,Pankower Allee,bus,"{'22', '61'} ; {'72'}","52.56469477044166, 13.378065332725493 ; 52.56432043915636, 13.373486225060846",,,"['16', '22', '8']+ ['61', '14']+ {'14', '16'}+ {'22', '8', '61', '72'}+ {'14'}+ {'16'}+ {'8', '22', '61', '72'}",
1365,Pankower Strasse,strassenbahn,{'49'},"52.5851769,13.428917",Q66195146,,{'49'}+ {'49'},
1366,Pankstrasse,u-bahn,{'8'},"52.55222,13.38167",Q571380,,['8']+ {'8'}+ {'8'},
1367,Pankstrasse/Badstrasse,bus,{'70'},"52.55229764811011, 13.381434092145634",,,,
1368,Pannierstrasse,bus,"{'95', '41'}","52.486324017927984, 13.429489128613437",,,"['95', '41']+ {'41', '95'}+ {'41'}",
1369,Pannwitzstrasse,bus,"{'21', '15'}","52.58623663682049, 13.322775004650389",,,['15']+ {'15'}+ {'15'},
1370,Papestrasse,s-bahn,{'2'},"52.4756,13.3644",Q376589,,"['KBS 153', 'KBS 152']+ {'152', '153'}+ {'2'}",
1371,Paplitzer Strasse,bus,{'82'},"52.382069053645125, 13.40776768820001",,,,
1372,Paracelsus-Bad,u-bahn,{'8'},"52.574166666667,13.349166666667",Q557562,"52.574166666667,13.349166666667",,
1373,Paradestrasse,u-bahn,{'6'},"52.478055555556,13.386111111111",Q557543,,['6']+ {'6'}+ {'6'},
