line_name,Stops,Frequency_7-30,Length (time),type,east-west,year
A13,Alt-Heiligensee - Am Dachsbau - Gabelung - Ruppiner Chaussee - U-Bhf. Tegel - Bernauer Strasse - Krankenhaus Tegel-Süd - Strasse nach Staatwinkel - Paulsternstrasse - Daumstrasse - Carl-Schurz-Strasse Ecke Am Juliusturm - Rathaus Spandau - Klosterstraße Ecke Seeburger Straße - Päwesiner Weg Ecke Seeburgerstrasse - Heerstrasse - Weinmeisterhornweg,15,59,bus,West,1961
A14,Alt-Heiligensee - Mattenbuder Pfad - Bhf. Heiligensee - Bhf. Schulzendorf - Heiligenseestrasse - U-Bhf. Tegel - Ziekowstrasse - Holzhauser Strasse - Lindenweg - Aroser Allee - Kopenhagener Strasse - Pankower Allee - Pankstrasse - U-Bhf. Gesundbrunnen - Rügener Strasse,15,53,bus,West,1961
A15,Lübarser Strasse - Bhf. Wittenau - Alt-Wittenau - Tor 5 - Bhf. Eichbornstrasse - Holzhauser Strasse - Borsigwalder Weg  - Gorkistrasse - U-Bhf. Tegel - Hermsdorfer Damm - Am Fließ  - Schulzendorfer Strasse - Bhf. Hermsdorf - Dominikus-Krankenhaus - Donnersmarckplatz - Bhf. Frohnau,15,41,bus,West,1961
A16,Louise-Schroeder-Platz - U-Bhf. Seestrasse - Afrikanische Strasse - Virchow-Krankenhaus - Bhf. PutlitzStrasse - TurmStrasse - Hansaplatz - Tiergartenstrasse - Lützowplatz - EinemStrasse - Rathaus Sch neberg - Innsbrucker Platz - Bundesplatz - Wiesbadener Strasse - Breitenbachplatz - Englerallee,10,44,bus,West,1961
A17,Bhf. Grunewald - Hagenplatz - Rosenecke - Warnem nder Strasse - U-Bhf. Rüdesheimer Platz - Friedriche-Wilhelm-Platz - Bundesallee - Rathaus Steglitz - Stadtpark - LeonorenStrasse - Stadion Lichterfelde - Wilhelmstrasse - Morgensternstrasse Ecke Wilhelmstrasse - Oberhofer Platz  - Saaleckplatz,10,46,bus,West,1961
A18,Saargemünder Strasse - U-Bhf. Oskar-Helene-Heim - Sophie-Charlotten-Strasse - Scharfestrasse - Potsdamer Strasse Ecke Clayallee - Mittelstrasse - Wolzogenstrasse - Benschallee - Waldfriedhof - Quantzstrasse - Kronprinzessinen Weg - Am Grossen Wannsee - Pfaueninsel-Chaussee - Rathaus Wannsee - St lpchensee - Kohlhasenbr ck,20,32,bus,West,1961
A19,Roseneck - Hagenplatz - Erdener Strasse - Bhf. Halensee - Wilmersdorfer Strasse - Olivaer Platz - Joachimstaler Strasse - Breitscheidplatz - Wittenbergplatz - Nollendorfplatz - Potsdamer Strasse Ecke Bülowstrasse - Bhf. Yorckstrasse - Katzbachstrasse - Mehringdamm - U-Bhf. Flughafen - Flughafen,10,40,bus,West,1961
A20,"Tegelort - Walderseestrasse - Falkenplatz - Mühlenstrasse - Heiligenseestrasse - Karolinenstrasse - U-Bhf. Tegel - Hatzfeldallee - Martin-Luther-Friedhof - Freie Scholle - Waldstrasse - Bhf. Waidmannslust - Oraniendamm - Am Vierrutenbert - Lübars, Dorfaue",15,36,bus,West,1961
A21,Wentowsteig - Oranienburger Strasse - Alt-Wittenau - Bhf. Eichbornstrasse - Scharnweberstrasse - Kurt-Schumacher-Platz - Kaserne Südtor - Heckerdamm - Bhf. Jungfernheide - Luisenplatz - Kantstrasse - Stuttgarter Platz - Amtsgericht Charlottenburg - Kurfürstendamm - Bhf. Hohenzollerndamm - U-Bhf. Fehrbelliner Platz,15,49,bus,West,1961
A22,"Hessenwinkel, Lindenstrasse - Fahlenbergstrasse Ecke Fürstenwalder Allee - S-Bhf. Wilhelmshagen - Zentralschule - Waldschänke - S-Bhf. Rahnsdorf - Fichtenau, Stadtgrenze",20,29,bus,Ost,1961
A23,"Altglienicke, Kirche - Gerosteig - Dankmarsteig - Altglienicke, Kirche ",20,13,bus,Ost,1961
