,stop_id,stop_name,type,in_lines
999,1000,S-Bhf. Friedrichshagen,strassenbahn,"{'84', '87'}"
1000,1001,S-Bhf. Greifswalder Strasse,strassenbahn,"{'74', '74E'}"
1001,1002,S-Bhf. Grünau,bus,"{'S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)', 'AZ', 'AD/36', 'A38'}"
1002,1003,S-Bhf. Grünau,strassenbahn,{'86'}
1003,1004,S-Bhf. Jannowitzbrücke,strassenbahn,"{'11', '64', '82'}"
1004,1005,S-Bhf. Karlshorst,strassenbahn,{'69'}
1005,1006,"S-Bhf. Kaulsdorf, Planitzstrasse",bus,{'A27'}
1006,1007,S-Bhf. Köpenick,bus,{'A27'}
1007,1008,S-Bhf. Köpenick,strassenbahn,"{'82', '83', '86'}"
1008,1009,S-Bhf. Mahlsdorf,bus,"{'A44', 'A44E'}"
1009,1010,S-Bhf. Mahlsdorf,strassenbahn,{'83'}
1010,1011,S-Bhf. Ostkreuz,strassenbahn,{'82'}
1011,1012,S-Bhf. Pankow,bus,{'A55'}
1012,1013,S-Bhf. Pankow,strassenbahn,"{'49', '46', '22'}"
1013,1014,S-Bhf. Pankow-Heinersdorf,strassenbahn,{'49'}
1014,1015,S-Bhf. Plänterwald,strassenbahn,"{'87', '92'}"
1015,1016,S-Bhf. Prenzlauer Allee,strassenbahn,"{'71', '72'}"
1016,1017,S-Bhf. Rahnsdorf,bus,"{'A22', 'S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf)'}"
1017,1018,S-Bhf. Rummelsburg,bus,{'O30'}
1018,1019,S-Bhf. Schönhauser Allee,strassenbahn,"{'49', '46', '22'}"
1019,1020,S-Bhf. Spindlersfeld,strassenbahn,{'84'}
1020,1021,"S-Bhf. Tremptower Park, Elsenstrasse",strassenbahn,{'92'}
1021,1022,S-Bhf. Treptower Park,bus,{'A47'}
1022,1023,S-Bhf. Wilhelmshagen,bus,{'A22'}
1023,1024,Saaleckplatz,bus,{'A17'}
1024,1025,SaarBrücker Strasse,strassenbahn,"{'71', '72'}"
1025,1026,Saargem nder Strasse,bus,{'A18'}
1026,1027,Saargemünder Strasse,bus,{'A11'}
1027,1028,Saatwinkler Damm,bus,{'A62'}
1028,1029,Sadowastrasse,bus,"{'A8', 'A8E'}"
1029,1030,Samariterstr.,u-bahn,{'E'}
1030,1031,Savignyplatz,s-bahn,"{'KBS 101', 'KBS 102'}"
1031,1032,"Sch fersee, Pankower Allee",bus,{'A71'}
1032,1033,Scharfestrasse,bus,{'A18'}
1033,1034,Scharnhorststrasse,bus,{'A57'}
1034,1035,Scharnhorststrasse Ecke Kieler Strasse,bus,{'A9'}
1035,1036,Scharnweberstr. (Eichborndamm),u-bahn,{'C I'}
1036,1037,Scharnweberstrasse,bus,{'A21'}
1037,1038,"Schildow, Kirche",bus,{'A7'}
1038,1039,Schillingstr.,u-bahn,{'E'}
1039,1040,Schillingstrasse,bus,{'A61'}
1040,1041,Schlachtensee,bus,{'A53'}
1041,1042,Schlachtensee,s-bahn,{'KBS 104'}
1042,1043,Schlesisches Tor,u-bahn,"{'B II', 'B I'}"
1043,1044,Schloss Glienicke,bus,{'A6'}
1044,1045,Schloss Ruhwald,bus,{'AS1'}
1045,1046,Schloss Ruhwald,strassenbahn,"{'54', '53'}"
1046,1047,SchlossBrücke,bus,{'A65'}
1047,1048,SchlossStrasse,bus,{'A32'}
1048,1049,Schlossstrasse,bus,{'A74'}
1049,1050,Schlossstrasse,strassenbahn,"{'74', '78', '73', '77'}"
1050,1051,"Schlossstrasse, Wilhelm-Schreiber-Platz",bus,{'AS2'}
1051,1052,Schloßstrasse Ecke Feuerbachstrasse,bus,{'A2'}
1052,1053,Schmargendorf,s-bahn,{'KBS 100'}
1053,1054,Schopenhauer-Strasse Ecke Spanische Allee,bus,{'A3'}
1054,1055,Schulenburgpark,strassenbahn,"{'95', '15'}"
1055,1056,Schulstrasse Ecke Exerzierstrasse,bus,{'A64'}
1056,1057,Schulzendorf (b Tegel),s-bahn,{'KBS 105'}
1057,1058,Schulzendorfer Strasse,bus,{'A15'}
1058,1059,Schumannstrasse,bus,{'A57'}
1059,1060,Schwarzer Weg Ecke Sonnenallee,strassenbahn,{'95'}
1060,1061,Schwedestrasse Ecke Exerzierstrasse,bus,{'A64'}
1061,1062,Schwelmer Strasse Ecke Ostpreußendamm,strassenbahn,{'96'}
1062,1063,Schwiezerhaus,bus,{'A34'}
1063,1064,Schäferberg,bus,{'A6'}
1064,1065,Schöneberg,s-bahn,"{'KBS 100a', 'KBS 100', 'KBS 104'}"
1065,1066,"Schönefeld, Siedlung",bus,"{'AZ', 'AD/36'}"
1066,1067,"Schöneiche, Goethepark",bus,"{'S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB Schöneiche-Rüdersdorf)'}"
1067,1068,Schöneweide,s-bahn,"{'KBS 106', 'KBS 103', 'KBS 103a', 'KBS 100a'}"
1068,1069,Schönhauser Allee,s-bahn,{'KBS 106'}
1069,1070,Schönhauser Allee,strassenbahn,{'3'}
1070,1071,Schönhauser Allee,u-bahn,{'A'}
1071,1072,Schönholz,s-bahn,"{'KBS 106', 'KBS 105'}"
1072,1073,Schützallee Ecke Onkel-Tom-Strasse,bus,{'A66'}
1073,1074,Schüßlerplatz,strassenbahn,{'84'}
1074,1075,Sebastianfriedhof,bus,{'A61'}
1075,1076,SedanStrasse,bus,{'A32'}
1076,1077,Sedanstrasse,bus,{'A33'}
1077,1078,Seeburger Strasse,strassenbahn,"{'76', '75'}"
1078,1079,Seegefelder Weg,bus,{'A63'}
1079,1080,Seelenbinderstrasse,strassenbahn,"{'84', '82', '83', '86'}"
1080,1081,Seelenbinderstrasse Ecke Bahnhofstrasse,strassenbahn,{'87'}
1081,1082,Seestr.,u-bahn,{'C I'}
1082,1083,Seestrasse Ecke Afrikanische Strasse,bus,{'A64'}
1083,1084,Seidelstr. (Flughafen Tegel),u-bahn,{'C I'}
1084,1085,Selchow,bus,"{'AZ', 'S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)'}"
1085,1086,Senefelderplatz,u-bahn,{'A'}
1086,1087,Siemensstadt,s-bahn,{'KBS 100c'}
1087,1088,Siemensstadt-Fürstenbrunn,s-bahn,{'KBS 103a'}
