,stop_name,type,in_lines,location,identifier,previous_in_lines
327,"Schöneiche, Goethepark",Autobus,"['S-Bhf. Friedrichshagen - Rüdersdorf, Karl-Marx-Platz']","52.470798548586494, 13.68835638892532",nan,"S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB Schöneiche-Rüdersdorf)"
328,Schönhauser Allee,strassenbahn,['3'],"52.5493619,13.4135734+52.549362, 13.413573+52.5537705,13.4138898+52.553771, 13.41389",Q65076842+Q65088013,"['49', '47']+ ['70', '3']+ 3+ ['3']+ ['3']+ ['3']+ ['3']+ ['46']+ 3+ 3+ 3,103"
329,Schönhauser Allee,u-bahn,['A'],"52.549328888889,13.413706111111",Q47014936,"['A I']+ ['A I']+ A I,A II+ A+ A+ ['A']+ ['A']+ ['A']+ ['A']+ A+ A+ A"
330,Seelenbinderstrasse,strassenbahn,['83'],"52.4554632,13.5769303",Q66324934,"['87']+ ['84', '87']+ 84+ 83,84,86,82+ ['25']+ 82,25+ 83,82,25+ 83E,83,82,124,86"
331,Seelenbinderstrasse Ecke Bahnhofstrasse,strassenbahn,['87'],"52.4554632,13.5769303",Q66324934,"87+ 84, 87+ ['84', '87']+ 25"
332,Seelenbinderstrasse Ecke Lindenstrasse,strassenbahn,"['84', '86']",,,
333,Siegfriestrasse Ecke Herzbergstrasse,strassenbahn,['69'],,,
334,Sonnenallee,strassenbahn,['95P'],"52.46218348846541, 13.477104416215733+52.48608535616972, 13.4303114768788+52.48613359502478, 13.430239659364373",nan,"['95']+ ['26']+ 26+ 95P,26"
335,Spittelmarkt,strassenbahn,"['72', '74', '64']","52.511243321361405, 13.40494539543245",nan,"['87', '74']+ ['73', '64', '72', '74']+ ['74', '82', '64']+ 64,74,72+ 64,72,74E,74+ 74E,74,72,64+ ['74', '64']"
336,Spittelmarkt,u-bahn,['A'],"52.511111111111,13.403611111111",Q569489,"['A']+ ['A I']+ ['A I']+ A I,A II+ A+ A+ ['A']+ ['A']+ ['A']+ ['A']+ A+ A+ A"
337,Stadion Buschallee,strassenbahn,['70'],"52.5566718,13.4869834",Q65504715,"['70']+ 70+ 70+ 70+ ['70']+ ['99', '70']+ ['70']+ ['70']+ 70+ 70+ 10,113,28,70"
338,Stadtmitte,u-bahn,['A'],"52.5122,13.3894",Q660066,"['A', 'C']+ ['C I']+ A+ A+ ['A']+ ['A']+ ['A']+ ['A']+ A+ A+ A"
339,Stalinallee (Ringbahn),u-bahn,['E'],"52.514166666667,13.474722222222",Q552872,E+ E+ E
340,Sterndamm,Autobus,['A 47'],"52.44658674940087, 13.506534865142585",nan,"A47+ A47+ A47+ ['A47']+ ['66']+ ['47', '66']+ 47,66+ 47,66+ 47,66"
341,Steuerhaus,Omnibus,['O 37'],,,
342,Steuerhaus,strassenbahn,"['69', '63', '64']","52.530493,13.4614989",Q65553632,"['64']+ ['63', '69', '64']+ 69,64,69E,63+ 64,63+ 69E,63,69,64+ ['63', '69', '69E', '64']+ ['69']"
343,Strab. Bf. Köpenick,strassenbahn,['83'],,,
344,"Stralau, Kinderheim",Autobus,['A 82 P'],,,
345,Stralauer Allee,strassenbahn,['82'],,,
346,Strasse 78,Autobus,['A 42'],"52.614646041574915, 13.484873269723556",nan,A42+ A42+ ['A42']
347,Strasse nach Wartenberg,Autobus,['A 46'],"52.56866269126953, 13.520582099858125+52.56868257933861, 13.520646670971487",nan,['A46']+ A46+ A46+ A46+ ['41']+ 41+ 41+ 41
348,Strausberger Platz,u-bahn,['E'],"52.518055555556,13.430833333333",Q570999,['E']+ ['E']+ ['E']+ E+ E+ E+ ['E']+ ['E']+ ['E']+ ['E']+ E+ E+ E
349,Taubenstrasse Ecke Glinkastrasse,strassenbahn,['72'],"52.51282807699578, 13.386550049684635",nan,72
350,Thälmannplatz,Autobus,['S-Bhf. Rahnsdorf - Woltersdorfer Schleuse'],"52.45066904252597, 13.752260000383929",nan,S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf)
351,Thälmannplatz,u-bahn,['A'],"52.51167,13.38472",Q658391,"['A I']+ ['A I']+ A I,A II+ A+ A+ ['A']+ ['A']+ ['A']+ ['A']+ A+ A"
352,Tierpark Berlin,strassenbahn,['69'],"52.50297204519277, 13.520916474066839",nan,"['69']+ 69,69E+ 69+ 69,69E+ ['69', '69E']+ ['17', '19', '69']"
353,"Treptow, Rathaus",Autobus,['A 47'],"52.48358899866382, 13.480324760498638","nan+nan, nan","A47+ A47+ A47+ ['A47']+ ['47']+ ['47', '67', '64']+ ['47', '64']+ 64,47+ 64,47+ {'64'}, {'47'}"
354,U- u. S-Bhf. Frankfurter Allee,strassenbahn,['3'],,,
355,U-Bhf. Dimitroffstrasse,strassenbahn,"['22', '70', '13', '4']","52.5401928,13.4113979",Q65088313,"['13', '4']+ 46E,70,4,49,22,13,46+ 70,49,22,4,46,13+ 4,22,13,49,70,46+ ['22', '13', '46', '70', '4', '49']+ ['4', '70', '22', '13', '49', '46']+ ['13', '70', '21', '4', '49', '46', '22']+ ['13', '22', '4', '21', '49', '70', '46']+ 13,22,21,49,70,4,46+ 13,22,21,49,70,4,46+ 13,121,102,22,21,49,4,46"
356,U-Bhf. Dimitroffstrasse,strassenbahn,"['49', '46']","52.5401928,13.4113979",Q65088313,"['13', '4']+ 46E,70,4,49,22,13,46+ 70,49,22,4,46,13+ 4,22,13,49,70,46+ ['22', '13', '46', '70', '4', '49']+ ['4', '70', '22', '13', '49', '46']+ ['13', '70', '21', '4', '49', '46', '22']+ ['13', '22', '4', '21', '49', '70', '46']+ 13,22,21,49,70,4,46+ 13,22,21,49,70,4,46+ 13,121,102,22,21,49,4,46"
357,U-Bhf. Franzsösische Strasse,Autobus,['A 59'],,,
358,U-Bhf. Friedrichsfelde (Tierpark),Autobus,"['A 43', 'A 8']",,,
359,U-Bhf. Pankow (Vinetastrasse),Autobus,"['A 58', 'A 7']","52.559329803871, 13.413333194922279",nan,"['A58', 'A50']+ ['58', '50']"
360,U-Bhf. Pankow (Vinetastrasse),strassenbahn,"['22', '46']","52.5596168,13.413232",Q65075426,22
361,U-Bhf. Pankow (Vinetastrasse),strassenbahn,['49'],"52.5596168,13.413232",Q65075426,22
362,U-Bhf. Stadtmitte,Autobus,['A 59'],"52.5104179669139, 13.389881304836392",nan,A59+ ['A59']+ ['59']+ 59+ 59
363,U-Bhf. Strausberger Platz,strassenbahn,['1'],"52.51808306742478, 13.432938339097822",nan,"1+ 1+ 1+ ['74', '64']"
364,U-Bhf. Thälmannplatz,Autobus,['A 59'],"52.511432831026575, 13.383450096801164+52.5114441966642, 13.383432905885536",nan,"A59+ ['A59']+ ['59', '32']+ ['79', '32']"
365,Uckermarkstrasse,Autobus,['A 49'],"52.52145144349922, 13.596724604247981",nan,['A49']+ A49+ A49+ A49+ ['A49']+ ['60']+ 60+ 60+ 60
366,Ulmenstrasse,Autobus,['A 27'],"52.48730877811447, 13.574932033917504",nan,['D']+ ['A27']+ A27+ A27+ A27
367,VEB Baustransporte,Autobus,['A 26'],,,
368,VEB Schiffswerft,strassenbahn,['83'],"52.42547977761138, 13.586220039541647",nan,"83+ 85,83+ ['83', '83E', '85']"
369,"Waldesruh, Mahlsdorfer Allee",Autobus,['A 8'],"52.48493120102871, 13.629069441163518",nan,['8']
370,Waldschänke,Autobus,['A 22'],"52.443318139967566, 13.68593963431219",nan,A22+ A22+ A22+ ['A22']+ ['22']+ ['61']+ 61+ 61+ 61
371,Wallnerstrasse Ecke Alexanderstrasse,strassenbahn,['22'],,,
372,Wallnerstrasse Ecke Alexanderstrasse,strassenbahn,['71'],,,
373,Walter-Ulbricht-Stadion,Autobus,['A 59'],,,
374,Walter-Ulbricht-Stadion,strassenbahn,"['82', '69']","52.535963327585435, 13.376321651970404+52.536515137173154, 13.377775719050113",nan,"['69']+ 69+ 82,69+ ['82', '69']+ ['63', '69']"
375,Waltersdorf,Autobus,['A 38'],"52.36492901110609, 13.555712408051676",nan,['A38']+ A38+ A38+ AD+ ['AD/38']+ ['D/38']+ ['38']+ ['38']+ 38+ 38+ 38
376,Waltersdorfer Chaussee,Autobus,['A 24'],"52.402177459037354, 13.51294235752257+52.41524023032168, 13.497788533964094",nan,58+ 41
377,Warschauer Strasse,Omnibus,['O 30'],,,
378,Warschauer Strasse,strassenbahn,['82'],"52.50502,13.44863+52.5105842,13.4526258",Q63490275+Q65950088,"['4']+ 82+ 3,4,82+ 82+ ['82', '3']+ ['3']+ 3+ 3"
379,"Wartenberg, Dorfstrasse",Autobus,['A 39'],"52.57484089632958, 13.518020972979759",nan,A39+ A39+ A39
380,"Wartenberg, Siedlung",Autobus,['A 39'],"52.58393195902164, 13.53076033685478+52.58402507545126, 13.53101715685476",nan,['A39']+ ['A39']+ A39+ A39+ A39+ ['A39']+ ['39']+ ['39']+ 39+ 39+ 39
381,Wasserwerk,strassenbahn,['87'],"52.4560563,13.6419956",Q66362601,87+ ['87']+ ['84']+ ['84']+ 84+ 84+ 84
382,Waßmannsdorf,Autobus,['A Z'],,,
383,Waßmannsdorfer Weg,Autobus,['A 24'],,,
384,"Weißensee, Nüßlerstrasse",Autobus,['A 56'],"52.56398537909407, 13.469733771213992",nan,A56+ A56+ ['A56']+ ['56']
385,"Weißensee, Pasedagplatz",strassenbahn,['72'],"52.5594027,13.4609594","Q65954665+Q65954665, Q65954665","72+ 72, 74+ 72+ ['72']+ ['73', '72']+ 24,72"
386,"Weißensee, Pasedagplatz/Klement-Gottwald-Allee",strassenbahn,['74'],,,
387,"Weißensee, Schwarzwelfenweg",Autobus,['A 45'],,,
388,Weißenseer Weg,Omnibus,['O 37'],,,
389,Weißenseer Weg,strassenbahn,['63'],"52.532258,13.476705",Q65942700,"['64']+ ['63', '64']+ 64,63+ 64,63+ 63,64+ ['63', '64']+ ['63', '74']"
390,Weißenseer Weg Ecke Berliner Strasse,strassenbahn,['64'],,,
391,Wendenschloß,strassenbahn,['83'],"52.4169658,13.5885926","Q66363928+Q66363928, Q66363928","85+ ['83E', '85']+ ['85']+ ['85', '83']+ ['85', '83']+ 83+ 83,85+ {'83', '85'}, {'83E'}"
392,Wendenstrasse,Autobus,['A 23'],,,
393,Wicherstrasse Ecke Prenzlauer Allee,Autobus,['A 56'],"52.5456730102219, 13.427746498417138",nan,A56
394,Wiener Brücke,strassenbahn,['92'],"52.49588477409083, 13.43650068505988",nan,"['88']+ ['87', '88']+ 87,88+ 92,87+ 87,95+ ['95', '87']+ ['87', '95']"
395,"Wiener Brücke, Krüllstrasse",strassenbahn,['87'],,,
396,Wilhelminenhofstrasse,strassenbahn,['69'],"52.460837970970566, 13.521054382869073+52.4619496,13.5139049",Q65951882+nan,"['87', '95']+ 69,69E+ 69+ 69,69E+ ['69', '69E']+ ['17', '69', '21']+ ['17', '26', '85', '21', '25']+ ['26', '21', '17', '85', '25', '82']+ 25,26,21,82,17+ 25,26,21,17,85+ 88,114,85"
397,Wilhelminenhofstrasse Ecke Edisonstrasse,strassenbahn,['87'],"52.4619496,13.5139049",Q65951882,"['69', '95']+ ['95', '87']+ 87+ 87,82+ ['82', '87']+ ['87', '82']+ 21,25,26"
398,"Wilhelmsruh, Fontanestrasse",Autobus,"['A 55', 'A 58', 'A 45']","52.58985938767378, 13.361193570257216",nan,"['A45']+ ['A55', 'A45']+ A45,A55+ A55,A45+ A45,A55+ ['55']+ 55"
399,Wilhelmstrasse Ecke Friedrichstrasse,Autobus,['A 59'],,,
400,Wilhelmstrasse Ecke Leipziger Strasse,strassenbahn,['74'],,,
401,Wisbyer Strasse Strasse Ecke Schönhauser Allee,strassenbahn,['49'],,,
402,Wolfmarsteig,Autobus,['A 23'],"52.41268952057738, 13.536602630335091",nan,['A23']+ A23+ ['A23']+ ['23']+ ['23']+ ['23']+ 23+ 23+ 23
403,Woltersdorfer Schleuse,Autobus,['S-Bhf. Rahnsdorf - Woltersdorfer Schleuse'],"52.4427723984596, 13.764524016423056",nan,S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf)
404,Wongrowitzer Steig,Autobus,['A 27'],,,
405,Zentralschule,Autobus,['A 22'],"52.43465069286089, 13.703692212644038",nan,['A22']+ A22+ A22+ A22+ ['A22']+ ['22']+ ['61']+ 61+ 61+ 61
406,"Ziegenhals, VA-Dienststelle",Autobus,['Schmöckwitz - Ziegenhals'],,,
407,lindenstrasse/Hegelschule,strassenbahn,['82'],,,
