,station_id,stop_name,line_count,type,in_lines
717,548,Gustav-Adolf-Strasse Ecke Rennbahnstrasse,1,Autobus,['A 55']
718,549,Klement-Gottwald-Allee Ecke Rennbahnstrasse,1,Autobus,['A 55']
719,550,Pielsporter Strasse,1,Autobus,['A 55']
720,551,"Weißensee, Nüßlerstrasse",1,Autobus,['A 56']
721,552,Rennbahnstrasse Ecke Gustav-Adolf-Strasse,1,Autobus,['A 56']
722,553,Hamburger Platz,2,Autobus,"['A 56', 'A 55']"
723,554,Prenzlauer Promenade,4,strassenbahn,"['70', '72', '3']"
724,554,Prenzlauer Promenade,4,Autobus,['A 56']
725,555,Wicherstrasse Ecke Prenzlauer Allee,1,Autobus,['A 56']
726,556,Kniprodestrasse/Ermländische Strasse,1,Autobus,['A 57']
727,557,Königstor,6,strassenbahn,['74']
728,557,Königstor,6,Omnibus,['O 40']
729,557,Königstor,6,Autobus,"['A 57', 'A 9']"
730,558,S-Bhf. Alexanderplatz,4,Omnibus,['O 30']
731,558,S-Bhf. Alexanderplatz,4,Autobus,"['A 57', 'A 9']"
732,559,Marx-Engels-Platz,3,Autobus,"['A 57', 'A 9']"
733,560,Friedrichstrasse Ecke Unter den Linden,1,Autobus,['A 57']
734,561,Bhf. Friedrichstrasse,6,strassenbahn,"['70', '46']"
