,line_id,year,line_name,type,start_stop,Length (time),Length (km),east_west,Frequency
92,195693,1956,A38,bus,Waltersdorf<> S-Bhf. Grünau,18,6.7,Ost,10
93,195694,1956,A39,bus,"Wartenberg, Siedlung<> Hohenschönhausen, Falkenberger Strasse",13,4.2,Ost,15
94,195695,1956,A4,bus,Brixplatz<> Finowstrasse Ecke Sonnenallee,54,,West,12
95,195696,1956,A41,bus,"Leninallee Ecke Dimitroffstrasse<> Marzahn, Bürknersfelde",19,,Ost,15
96,195697,1956,A42,bus,"Buch, Zepernicker Strasse<> Ostseestrasse Ecke Prenzlauerallee",41,12.1,Ost,15
97,195698,1956,A43,bus,Bürknersfelde<> U-Bhf. Friedrichsfelde,19,6.2,Ost,20
98,195699,1956,A44,bus,"Hönow, Dorfstrasse<> S-Bhf. Mahlsdorf",13,4.3,Ost,20
99,1956100,1956,A44E,bus,Greifswalder Strasse<> S-Bhf. Mahlsdorf,10,,Ost,20
100,1956101,1956,A45,bus,"Wilhelmsruh, Fontanestrasse<> Weißensee, Feldmannstrasse",45,,Ost,7
101,1956102,1956,A46,bus,"Ahrensfeld, Lindenbergerstrasse<> Malchow, Dorfstrasse",34,,Ost,15
102,1956103,1956,A47,bus,"Bhf. Schöneweide<> S-Bhf. Baumschulenweg, Glanzstrasse",16,,Ost,15
103,1956104,1956,A48,bus,"Potsdamer Strasse Ecke Fischerhüttenstrasse<> Potsdamer Brücke, Am Karlsbad",35,,West,10
104,1956105,1956,A49,bus,"Kaulsdorf, Bausdorfstrasse<> Kaulsdorf, Hönowerstrasse Ecke Bausdorfstrasse",14,,Ost,20
105,1956106,1956,A5,bus,"Machandelweg Ecke Charlottenburger Chaussee<> Spandau, Waldkrankenhaus",26,,West,10
106,1956107,1956,A50,bus,"Emser Platz, Pfalzburgerstrasse<> Roseneck, Rheinbabenallee, Grunewald",12,,West,10
107,1956108,1956,A51,bus,Bhf. Wannsee<> Krankenhaus Heckeshorn,10,,West,50
108,1956109,1956,A52,bus,"Alt-Marienfelde Ecke Marienfelderallee<> Rudow, Kanalstrasse Ecke Mimosenweg",38,,West,30
109,1956110,1956,A55,bus,"Wilhelmsruh, Fontanestrasse<> Weißensee, Schwarzelfenweg",41,,Ost,15
110,1956111,1956,A6,bus,Bhf. Wannsee<> Glienicker Brücke,13,,West,60
