Column,stop_name,type,in_lines,location,identifier
291,Elsterplatz,bus,"['A10', 'A50']","52.47977982878401, 13.285507613099716",
292,Emmentalerstrasse Ecke Aroserallee,bus,"['A12', 'A12S']","52.567564056567846, 13.351342420019115",
293,"Emser Platz, Pfalzburgerstrasse",bus,['A50'],"52.49294890954554, 13.321749965916931",
294,"Englerallee, Breitenbachplatz",bus,['A16'],"52.465841806408555, 13.30615348093324",
295,Erkner,s-bahn,['KBS 102'],"52.4296,13.7513",Q14434071
296,Erkstrasse Ecke Sonnenallee,strassenbahn,"['94', '95']","52.48169987618706, 13.440143697235596",
297,"Erkstrasse, Rathaus Neukölln",strassenbahn,['47'],"52.48088289227713, 13.435445948459439",
298,Ernst-Reuter-Platz,u-bahn,['A I'],"52.511944444444,13.322222222222",Q658361
299,Eweststrasse,strassenbahn,['49'],"52.594079233661624, 13.432171197739503",
300,"Falkenberg, Schule",bus,['A46'],"52.56880573894071, 13.549528314980424",
301,Falkenberger Chaussee,bus,['A39'],"52.565816857333125, 13.511913714753",
302,Falkenbergerstrasse Ecke Wartenberger Strasse,strassenbahn,['63'],"52.55036672097044, 13.509915032138812",
303,Falkenhöhe,bus,['A36'],"52.400507029940435, 13.538229483128243",
304,Falkenplatz,strassenbahn,['28'],"52.585285954271406, 13.227452060134016",
305,Falkensee,s-bahn,['KBS 103'],"52.559722,13.088889",Q5431918
306,Fehrbelliner Platz,bus,['A50'],"52.49040638965375, 13.314204217177087",
307,Fehrbelliner Platz,strassenbahn,"['3', '60', '44']","52.49032472677901, 13.314317300484289",
308,Fehrbelliner Platz,u-bahn,['A II'],"52.490277777778,13.314444444444",Q663245
309,Fehrbelliner Tor,strassenbahn,['54'],"52.55534910528559, 13.198621894913103",
310,Fennbrücke,strassenbahn,"['23', '2']","52.53789913636452, 13.361535518846207",
311,Feuerbachstr.,s-bahn,['KBS 104'],"52.463611111111,13.332777777778",Q800501
312,Feuerbachstrasse Ecke Bismarckstrasse,bus,['A2'],"52.464513435475055, 13.338927866545799",
313,Feuerbachstrasse Ecke Knausstrasse,strassenbahn,['88'],"52.4645176561027, 13.338945240453217",
314,"Fichtenau, Stadtgrenze",bus,['A22'],"52.45479242349705, 13.701499962608066",
315,Finowstrasse Ecke Sonnenallee,bus,['A4'],"52.48107312004714, 13.441395678745941",
316,Flinsbergerplatz,bus,['A50'],"52.48363157821334, 13.29263347325828",
317,"Florastrasse, S-Bhf. Pankow",bus,"['A55', 'A45']","52.566793710626044, 13.410032511165026",
318,Flughafen,u-bahn,['C II'],"52.485556, 13.385833",Q557582
319,Flugplatz,bus,['A35'],"52.46661352386276, 13.164648960485769",
320,Frankfurter Tor/Stalinallee,strassenbahn,"['13', '4']","52.5153903,13.4540172",Q65706246
321,Französische Str.,u-bahn,['C I'],"52.514722222222,13.389166666667",Q571479
322,Frauenklinik,strassenbahn,['15'],"52.463949908172545, 13.427509548910932",
323,Fredersdorf (b Bln),s-bahn,['KBS 101'],"52.5265,13.7625",Q15197387
324,Freie Scholle,bus,['A20'],"52.599851537868666, 13.301736158422598",
325,Freienwalderstrasse Ecke Orankestrasse,strassenbahn,['63'],"52.5443517,13.4929992",Q65555700
326,Friedenau,s-bahn,['KBS 104'],"52.47,13.341",Q800471
327,Friedenstrasse,bus,['A6'],"52.417223782342035, 13.138950169993388",
328,Friedrich-Junge-Strasse,bus,['A82P'],"52.49382897072681, 13.471572865851856",
329,Friedrich-Karl-Strasse,strassenbahn,"['98', '99']","52.455797262882406, 13.383934284553103",
331,Friedrich-Wilhelm-Platz,strassenbahn,"['77', '44', '78']","52.47132415928576, 13.328417218543715",
332,Friedrichsfelde (Tierpark),u-bahn,['E'],"52.506111111111,13.512777777778",Q429781
333,Friedrichsfelde Ost,s-bahn,['KBS 101'],"52.5141,13.5198",Q800473
334,"Friedrichsfelde, Schloßstrasse",bus,['A37'],"52.50970330922865, 13.519045879792072",
335,Friedrichshagen,s-bahn,['KBS 102'],"52.4574,13.6233",Q800474
336,"Friedrichshagen, Wasserwerk",strassenbahn,['84'],"52.4560563,13.6419956",Q66362601
337,Friedrichstr.,s-bahn,"['KBS 105', 'KBS 104', 'KBS 106', 'KBS 102', 'KBS 101', 'KBS 103']","52.52027777777778,13.386944444444444",Q111219456
338,Friesenstrasse Ecke Columbiadamm,bus,"['A24', 'A4']","52.483955843943605, 13.394382269747895",
339,Fritz-Reuter-Allee Ecke Parchimerallee,bus,['A25'],"52.44564578764053, 13.449948721190864",
340,Frohnau,s-bahn,['KBS 104'],"52.6325,13.2902",Q800472
341,"Frohnau, Invalidensiedlung",bus,['A12'],"52.65584641928224, 13.29035792910375",
342,Gabelung,strassenbahn,"['28', '29']","52.599887444177305, 13.25203703437107",
343,"Galenusstrasse, Pankow, Krankenhaus",strassenbahn,['49'],"52.5818183,13.4287678",Q66195410
344,Gartenfeld,s-bahn,['KBS 100d'],"52.54695,13.24882",Q96080469
345,Gartenfelderstrasse Ecke Nonnendammallee,bus,['A13'],"52.53933030097356, 13.232239626278965",
346,Gartenfelderstrasse Ecke Paulsternstrasse,bus,"['A13', 'A10']","52.54415086230652, 13.247076804185845",
347,Gartenfelderstrasse Ecke Paulsternstrasse,strassenbahn,['55'],"52.54413344873405, 13.247080226892141",
348,"Gartenstadt, Staaken, Heidelbergplan",bus,['A31'],"52.541199833983136, 13.1468428723857",
349,"Gatow, Flugplatz",bus,['A34'],"52.47170253033803, 13.123057426760603",
350,"Gatow, Kirche",bus,"['A35', 'A34']","52.48684680676539, 13.18215147844503",
351,Gehsener Strasse,bus,['A27'],"52.46321577871702, 13.58365868698432",
352,"Geißenweide, Elisabethstrasse",bus,['A37'],"52.53416191228728, 13.561380969716343",
353,Genslerstrasse,bus,['A41'],"52.534226679073065, 13.4967918058346",
354,Germaniastrasse Ecke Gottlieb-Dunkel-Strasse,strassenbahn,"['15', '26']","52.46053987437175, 13.418058888486561",
355,Germersheimer Platz,bus,['A35'],"52.54433253766927, 13.187336363919895",
356,Gesundbrunnen,s-bahn,"['KBS 100', 'KBS 105', 'KBS 103a', 'KBS 100c', 'KBS 104', 'KBS 106']","52.548611111111,13.389444444444",Q111239092
357,Gesundbrunnen,u-bahn,['D'],"52.548611,13.389444",Q3761416
358,Giebelsee,s-bahn,['KBS 101'],"52.5291,13.791",Q7178217
359,"Gipsstrasse, U-Bhf. Weinmeisterstrasse",strassenbahn,['1'],"52.5253215,13.4035047",Q65094293
360,Gleisdreieck,u-bahn,"['B I', 'A I', 'A II']","52.49952,13.37409",Q678372
361,Glewitzerstrasse,bus,['A8'],"52.49387671144271, 13.561907737951769",
362,"Glienicke, Elsässerstrasse",bus,['AN'],"52.633385044072064, 13.345111730588611",
363,"Glienicke, Kirche",bus,['A7'],"52.63062737184449, 13.312861916755343",
364,"Glienicke, Pilz",bus,['A7'],"52.639037149237545, 13.364327759051822",
365,Glienicker Brücke,bus,['A6'],"52.413474089031965, 13.091235881924467",
366,Glogauer Strasse,strassenbahn,['26'],"52.493437003779434, 13.43739124697587",
367,Gneisenaustr.,u-bahn,['C I'],"52.491388888889,13.395555555556",Q668618
368,Gneisenaustrasse/Yorckstrasse,strassenbahn,['95'],"52.492963715746406, 13.387720175188994",
369,Goebenstrasse Ecke Bülowstrasse,strassenbahn,['2'],"52.49367856128188, 13.365670601708574",
370,Goerzallee Ecke Wismarer Strasse,strassenbahn,['77'],"52.42193877862271, 13.298495448017045",
371,Goerzallee Ecke Wismarerstrasse,bus,['A1'],"52.42193975704034, 13.29849525230179",
372,Golfplatz,bus,['A6'],"52.415837593448295, 13.128194256851318",
373,Gottlieb-Dunkel-Strasse Ecke Germaniastrasse,bus,['A25'],"52.46056887553805, 13.417975404195007",
374,Gottlieb-Dunkel-Strasse Ecke Germaniastrasse,strassenbahn,['6'],"52.46057706686739, 13.417997050677094",
375,Gotzkowskybrücke Ecke Alt-Moabit,bus,['A25'],"52.52378497716608, 13.329592570734203",
376,Gotzkowskystrasse Ecke Alt-Moabit,strassenbahn,['44'],"52.5237772942417, 13.329787285101991",
377,Gotzkowskystrasse Ecke Turmstrasse,bus,['A24'],"52.52721970192428, 13.330570000205638",
378,Gotzkowskystrasse Ecke Turmstrasse,strassenbahn,"['3', '2']","52.52723347192614, 13.330503468404352",
379,Gotzkowskystrasse Ecke turmstrasse,strassenbahn,['35'],"52.527219088204575, 13.330516261373727",
380,Gradestrasse,strassenbahn,['27'],"52.45261828426318, 13.438552708749976",
381,Gradestrasse (51) Ecke Tempelhofer Weg,bus,['A25'],"52.452533085780615, 13.43301993500373",
382,Graf-Roedern-Allee Ecke Alt-Reinickendorf,strassenbahn,['35'],"52.575826791074604, 13.347823169310754",
383,Graf-Roedernallee Ecke Reinickendorferstrasse,strassenbahn,['41'],"52.57584985636525, 13.347862354343286",
384,Grazer Damm Ecke Prellerweg,bus,['A25'],"52.459057935646065, 13.348604369406305",
385,Greifswalder Str.,s-bahn,"['KBS 100', 'KBS 103a', 'KBS 100c', 'KBS 100b']","52.539722222222,13.439444444444",Q439246
386,Greifswalder Strasse,bus,['A44E'],"52.53002871375482, 13.62681794411932",
387,Greifswalder Strasse,strassenbahn,"['13', '4']","52.5364975,13.4334045",Q65548960
388,Grenzallee,u-bahn,['C I'],"52.463333333333,13.443888888889",Q571836
389,Griebnitzsee,s-bahn,['KBS 102'],"52.3944,13.1272",Q315133
390,Grossbeerenstrasse Ecke Daimlerstrasse,strassenbahn,['98'],"52.42636680081003, 13.37431638254586",
391,"Groß-Glienicke, Gutshof",bus,['A34'],"52.477548281200235, 13.12051364935305",
392,Große Präsidentenstrasse,strassenbahn,"['49', '63']","52.52326345734971, 13.401134586268517",
393,Großer Stern,bus,"['A24', 'A16']","52.514524715463295, 13.349933192922938",
394,Großgörschenstr.,s-bahn,['KBS 104'],"52.4922745,13.3678588",Q21776726
395,Grunewald,s-bahn,['KBS 102'],"52.4892,13.2614",Q457266
397,Pariserstrasse Ecke Bundesallee,strassenbahn,"['77', '78']","52.49610379255558, 13.330698373835808",
398,Grunewaldstrasse Ecke Martin-Luther-Strasse,bus,['A16'],"52.489052179432406, 13.345015381967391",
399,Grunewaldstrasse Ecke Martin-Luther-Strasse,strassenbahn,"['6', '25']","52.489114608736564, 13.344981706170403",","
400,Grünau,Fähre,['Wendenschloß<>Grünau'],"52.41748994875358, 13.582453633911928",
401,Grünau,s-bahn,"['KBS 100a', 'KBS 103']","52.4122,13.5746",Q111307258
402,"Grünauerstrasse, Bhf. Schöneweide",strassenbahn,"['92', '91']","52.45604414856236, 13.510449640756448",
403,Grünberger Strasse,strassenbahn,['4'],"52.5122359,13.452609",Q65706239
404,Grüner Weg Ecke Buschkrugallee,bus,['A25'],"52.44277699347086, 13.45626759453103",
405,Grünstrasse,strassenbahn,['95'],"52.44496664892706, 13.57413386885382",
406,Grüntalerstrasse Ecke Osloer Strasse,strassenbahn,['3'],"52.555331,13.3909979",Q65807452
407,Gustav-Adolf-Strasse Ecke Prenzlauer Promenade,strassenbahn,['72'],"52.551688022464916, 13.430349300575484",
408,Gustav-Adolf-Strasse Ecke Rennbahnstrasse,bus,['A42'],"52.562178269666816, 13.454275093038184",
409,Gutshof Marienfelde,bus,['A52'],"52.41088450558385, 13.373192649319066",
410,Görlitzer Bahnhof (Oranienstr.),u-bahn,['B I'],"52.4992,13.428",Q597759
411,Güterbahnhof Springpfuhl,bus,['A43'],"52.52561231977731, 13.533687321893124",
412,Hackescher Markt,strassenbahn,"['49', '69']","52.522700593509725, 13.401605863643521",Q65094590
413,Hackescher Markt,strassenbahn,['63'],"52.52386243784762, 13.402614038025424",
414,Hafenplatz,bus,['A34'],"52.54215888169655, 13.206044861619935",
415,Hafenplatz,strassenbahn,"['75', '54']","52.542292547760184, 13.206201126048732",
416,Hagenplatz,bus,"['A19', 'A17']","52.483382973651, 13.265818700272884",
417,Hakenfelde,strassenbahn,['75'],"52.57886009874865, 13.210057800310379",
418,Halensee,s-bahn,"['KBS 100', 'KBS 100a']","52.4961,13.2906",Q800476
419,Halenseestrasse Ecke Kurfürstendamm,bus,['A4'],"52.494939726732675, 13.285466139009724",
420,Hallesches Tor,strassenbahn,['95'],"52.49761471032374, 13.38904657659308",
421,Hallesches Tor,u-bahn,"['C I', 'B I', 'A II']","52.497777777778,13.391111111111",Q658302
422,"Teltow, Hamburger Platz",strassenbahn,['96'],"52.3983465820797, 13.246558303241358",
423,Hannoversche Strasse,strassenbahn,['11'],"52.52716496126181, 13.387046759579254",
424,Hansaplatz,bus,"['A25', 'A16']","52.5179343319099, 13.342038193257153",
425,"Haselhorst, Kirche",bus,['A10'],"52.5468281751583, 13.237065889883622",
426,Hauptstrasse,strassenbahn,['6'],"52.48184785648144, 13.34836694193233",
427,Hauptstrasse Ecke Dominicusstrasse,strassenbahn,['60'],"52.48179322469747, 13.348385662518401",
428,Hauptstrasse Ecke Dominicusstrasse ; Innsbrucker Platz,strassenbahn,['66'] ; ['66'],"52.48185447998682, 13.34839211499204 ; 52.47851767561872, 13.344017066649423",
429,Hauptstrasse Ecke Edelweißstrasse,bus,"['A55', 'A45']","52.586379262142074, 13.36752938856218",
430,Hausvogteiplatz,u-bahn,['A I'],"52.513055555556,13.396666666667",Q656523
431,Heerstr.,s-bahn,"['KBS 101', 'KBS 103']","52.5086,13.2586",Q800502
432,Heerstrasse Ecke Pichelsdorferstrasse,bus,"['A35', 'A34']","52.51303188952818, 13.196865381046361",
433,Heerstrasse Ecke Wilhelmstrasse,bus,['A13'],"52.51662457723462, 13.179022303033726",
434,"Hegemeisterweg, Rennbahn",strassenbahn,"['69', '82']","52.4741663,13.5204016",Q65951916
435,Heidelberger Platz,u-bahn,['A II'],"52.479808333333,13.313236111111",Q21777872
436,Heilanstalt,strassenbahn,['68'],"52.58284634558199, 13.33436306449741",
437,Heiligensee,s-bahn,['KBS 105'],"52.6247,13.2292",Q800475
438,"Heiligensee, Dorfaue",strassenbahn,['29'],"52.606510891749345, 13.210444640210534",
439,"Heiligensee, Hennigsdorferstrasse Ecke Mattenbuder Pfad",bus,['A14'],"52.61696001333966, 13.22053830566762",
440,Heiligenseestrasse Ecke Karolinenstrasse,bus,['A14'],"52.5979470528879, 13.275036672101873",
441,"Heimholtzstrasse, Autobusbahnhof",bus,['A1'],"52.52150833390987, 13.324513693545313",
442,"Heinersdorf, Kirche",bus,"['A55', 'A42']","52.56826376476754, 13.440601903603064",
443,"Heinersdorf, Kirche",strassenbahn,['71'],"52.5686908,13.4389053",Q65096107
444,"Heinersdorf, Romain-Rolland-Str.",strassenbahn,['71'],"52.5725511,13.4371063",Q65096052
445,Heinrich-Mann-Platz,bus,['A45'],"52.57297246262195, 13.392146133350426",
446,Hennigsdorf (b Bln),s-bahn,['KBS 105'],"52.638,13.2057",Q800909
447,Hennigsdorferstrasse Ecke Heiligensee,strassenbahn,['29'],"52.610995069028775, 13.216547112858846",
448,"Herbstrasse, Bhf. Schönholz",bus,['A14'],"52.57156679071471, 13.37987849268627",
449,Hermannplatz,strassenbahn,"['94', '2', '47', '95', '26']","52.487085572732276, 13.424752445258537",
450,Hermannplatz,u-bahn,"['D', 'C I']","52.48629,13.42455",Q658929
451,Hermannstr.,s-bahn,"['KBS 100', 'KBS 100a']","52.4675,13.431111111111",Q111263802
452,Hermannstrasse Ecke Hertastrasse,strassenbahn,"['15', '26']","52.464683821768375, 13.432895770730918",
453,Hermsdorf,s-bahn,['KBS 104'],"52.6178,13.3069",Q263189
454,Hermsdorfer Damm Ecke Hohefeldstrasse,bus,"['A12', 'A12S']","52.620540768055236, 13.305942509128208",
455,Hermsdorfer Damm Ecke Karolinenstrasse,bus,['A15'],"52.596782782505926, 13.276626902280602",
456,Hermsdorferstrasse Ecke Alt-Wittenau,bus,['A14'],"52.593597362933814, 13.32127606815509",
457,Hertzbergplatz,strassenbahn,['95'],"52.4773735457893, 13.448843811492495",
458,"Hessenwinkel, Lindenstrasse",bus,['A22'],"52.42653518647879, 13.728458969026482",
459,Hildburghauser Strasse Ecke Sonderhauserstrasse,bus,['A11'],"52.41595186598356, 13.341732660124851",
460,Hildegardstrasse Ecke Bundesallee,bus,['A25'],"52.48166617205108, 13.329413382898865",
461,Hildegardstrasse Ecke Bundesallee,strassenbahn,['44'],"52.48165880537118, 13.329435201187513",
462,Hindenburgdamm Ecke Schloßstrasse,bus,['A48'],"52.4534980325969, 13.315600039325448",
463,Hindenburgdamm Ecke Schloßstrasse,strassenbahn,"['74', '73', '78', '77']","52.45350181384508, 13.315623434662008",
464,Hirschgarten,s-bahn,['KBS 102'],"52.4579,13.6032",Q4892435
465,"Hirschgarten, Fürstenwalder Damm",strassenbahn,['84'],"52.4518533,13.6006245",Q66360740
466,Hirschgartenm Fürstenwalderdamm,strassenbahn,['87'],"52.4518533,13.6006245",Q66360740
467,Hochgerichtstrasse Ecke Seegefelderstrasse,bus,['A5'],"52.53829981817958, 13.183413413138643",
468,Hochmeisterplatz,bus,['A4'],"52.49468637986547, 13.301254684721862",
469,Hoeppnerstrasse Ecke Boelckestrasse,strassenbahn,['95'],"52.472423965861076, 13.377880937631122",
470,Hohen-Neuendorf (b Bln),s-bahn,['KBS 104'],"52.6684,13.287",Q4500489
471,"Hohenschönhausen, Falkenberger Strasse",bus,['A39'],"52.550229554941964, 13.509585042301534",
472,"Hohenschönhausen, Falkenberger Strasse",strassenbahn,"['70', '64']","52.5508672,13.5094994",Q65555882
473,"Hohenschönhausen, Gartenstadt",strassenbahn,['63'],"52.5508672,13.5094994",Q65555882
474,Hohenschönhauser Strasse,strassenbahn,['3'],"52.5359329,13.4729468",Q65553684
475,Hohenschöpping,s-bahn,['KBS 105'],"52.67,13.1945",Q19274489
476,Hohenzollerndamm,s-bahn,"['KBS 100', 'KBS 100a']","52.4885,13.3004",Q800503
477,Hohenzollernplatz,u-bahn,['A II'],"52.493888888889,13.325",Q571570
478,Hohenzollernring Ecke streitstrasse,strassenbahn,['75'],"52.555723356381655, 13.207565635560826",
