Column,stop_name,type,in_lines,location,identifier
716,Müllerstrasse Ecke Schulstrasse,strassenbahn,"['28', '29']","52.54639788626855, 13.359150434534053",
717,Münsterlandstrasse,bus,['O30'],"52.50386179154858, 13.494630993360548",
718,Neanderstr.,u-bahn,['D'],"52.510833333333,13.416388888889",Q663204
719,Nettelbeckplatz,strassenbahn,"['35', '23', '68']","52.54423653105294, 13.369853072459598",
720,Neu-Westend,u-bahn,['A I'],"52.515555555556,13.261111111111",Q656431
721,Neue Bahnhofstrasse,bus,['O30'],"52.50643159569136, 13.469770456707195",
722,Neuenhagen (b Bln),s-bahn,['KBS 101'],"52.5208,13.7003",Q7001614
723,Neukladowerallee Ecke Kladower Damm,bus,"['A35', 'A34']","52.45988940678482, 13.153891640951477",
724,Neukölln,s-bahn,"['KBS 100', 'KBS 100a']","52.469166666667,13.441666666667",Q111325412
725,Neukölln (Südring),u-bahn,['C I'],"52.469166666667,13.441666666667",Q569905
726,"Neukölln, Hermannplatz",strassenbahn,"['27', '3']","52.48645092944154, 13.424243030746648",
727,"Neukölln, Schulenburgpark",strassenbahn,['94'],"52.4666566988453, 13.470193015552026",
728,Neuköllnerstrasse Ecke Köpenickerstrasse,bus,['A52'],"52.41704466295391, 13.493979323476385",
729,"Niederschönhausen, Schillerstrasse",strassenbahn,['46'],"52.5923051,13.41088",Q65032581
730,Nikolassee,s-bahn,"['KBS 102', 'KBS 104']","52.4317,13.1933",Q637052
731,Nikolskoer Weg,bus,['A6'],"52.41405938531216, 13.109270752484141",
732,Nollendorfplatz,bus,['A19'],"52.49968843634292, 13.353086438468269",
733,Nollendorfplatz,strassenbahn,['2'],"52.49974136660471, 13.352878927585127",
734,Nollendorfplatz,u-bahn,"['B II', 'B I', 'A I', 'A II']","52.499166666667,13.353888888889",Q571039
735,"Nollendorfplatz, Einemstrasse",bus,['A16'],"52.499844039844604, 13.354110288647837",
736,Nordbahnhof,s-bahn,"['KBS 106', 'KBS 105', 'KBS 104']","52.5319,13.3878",Q673721
737,Nordbahnhof,u-bahn,['C I'],"52.531111111111,13.3825",Q554399
738,"Nordend, Dietzgenstrasse",strassenbahn,['46'],"52.59006653572326, 13.40176941341587",
