line_name,type,stops,frequency (7:30),length (Time),Length (km),year,east_west,info
61,autobus,U-Bhf. Gesundbrunnen - U-Bhf. Pankstr. - Exerzierstr. - U-Bhf. Osloerstr. - Koloniestr. - Prinzenallee - Soldinerstr. - Kühnemannstr. - Pankowerallee - Reginhardstr. - Residenzstr. - Emmentalerstr. - Lindauerallee - Flottenstr. - Paracelsus-Bad - Gemeindefriedhof - Ollenhauerstr. - Hoeferstr. - Kurt-Schumacher-Platz - Hechelstr. - Uranusweg - U-Bhf. Scharnweberstr.,15,37,,1982,west,
62,autobus,"Wilhelmsruherdamm Märkisches Viertel - Treuenbrietzenerstr. - Gemeindezentrum - Oranienburgerstr. - Roedernallee - Alt-Wittenau - Karl-Bonhoeffer-Nervenklinik - Lindauerallee - Auguste-Viktoria-Allee - U-Bhf. Kurt-Schumacher-Platz - Kaserne Napoleon - Kaserne Südtor - Saatwinklerdamm - U-Bhf. Jakob-Kaiser-Platz - Jakob-Kaiser-Platz - Olbersstr./Drk-Krankenhaus - Landgericht - Schloßbrücke - Luisenplatz - Wilmersdorferstr. - U-Bhf. Richard-Wagner-Platz - Leibnizstr. - U-Bhf. Ernst-Reuter-Platz - Steinplatz - Zoo, Hardenbergplatz",12,50,,1982,west,
63,autobus,Spandau Waldkrankenhaus - Pflegeheim - Kolonie Waldfrieden - Bötzow-Bahn - Gliensteig - Schwanterweg - Kisselnallee - Pionierstr. - Falkenseerchaussee - Zweibrückerstr. - Askanierring - Flankenschanze - Falkenseerdamm - Rathaus Spandau - Galenstr. - Staakenerstr. - Petzoldweg - Zeppelinstr. - Schulzenstr. - Viersenerstr. - Dyrotzerstr. - Leuthingerweg - Straße 393 - Spandau Seegefelderweg,15,30,,1982,west,
64,autobus,Senftenberger Ring Märkisches Zentrum - Calauerstr. - Eichhorsterweg - Wilhelmsruherdamm - Dannenwalderweg - Roedernallee - Tessenowstr. - Flottenstr. - Lindauerallee - Humboldt-Krankenhaus - Gotthardstr. - Holländerstr./Friedhöfe - U-Bhf. Afrikanischestr. - Seestr. - U-Bhf. Amrumerstr. - U-Bhf. Leopoldplatz - U-Bhf. Nauenerplatz - U-Bhf. Pankstr. - U-Bhf. Gesundbrunnen - Bernauerstr. Ecke Wollingerstr.,15,48,,1982,west,
65,autobus,Wedding Seestr. Ecke Müllerstr. - Müllerstr./U-Bhf. Seestr. - Afrikanischestr. - Beusselstr. - Paul-Hertz-Siedlung - Jakob-Kaiser-Platz - Spandauerdamm - Icc/Omnibusbahnhof - Rathenauplatz - Hohenzollerndamm - Mecklenburgischestr. - Bundesallee - Innsbruckerplatz - Dominicusstr. - Sportzentrum Schöneberg - Gotenstr. - Alboinstr. - Berlinickeplatz - U-Bhf. Alt-Tempelhof - Hermannstr. - Bendastr. - U-Bhf. Neukölln - Sonnenallee - Grenzallee - Neukölln Schulenburgpark,10,58,,1982,west,
66,autobus,"Zoo, Hardenbergplatz - Joachimstalerstr. - Uhlandstr. - Savignyplatz - Schlüterstr. - Leibnizstr. - U-Bhf. Wilmersdorferstr. - Kaiser-Friedrichstr. - Suarezstr./Amtsgericht - Kuno-Fischerstr. - Dernburgstr. - Icc/Ausstellungshallen - Avus-Einfahrt Nikolassee - Wannseebauweg - Am Beelitzhof - Am Sandwerder - Tillmannsweg - Fernbahnhof Wannsee - Königstr. - Am Großen Wannsee - Pfaueninselchaussee - Rathaus Wannsee - Charlottenstr. - Wilhelmplatz - Stölpchensee Glienickerstr.",15,39,,1982,west,
68,autobus,"Dahlem Clayallee Ecke Königin-Luisestr. - Thielallee/Pacelliallee - U-Bhf. Dahlem-Dorf - Postamt, Museum Dahlem - Botanischer Garten - Lepsiusstr. - U-Bhf. Rathaus Steglitz - Breitestr. - Südendstr. - Bergstr. - Bismarckstr. - Insulaner/Sternwarte - Priesterweg - Röblingstr./Arnulfstr. - Alboinstr. - Attilaplatz - Friedrich-Karlstr. - Albrechtstr. - U-Bhf. Kaiserin-Augustastr. - Rathaus Tempelhof - U-Bhf. Alt-Tempelhof - U-Bhf. Tempelhof",15,35,,1982,west,
69,autobus,Eichkamp Dauerwaldweg - Waldschulallee - Jafféstrasse/Deutschlandhalle - Icc/Ausstellungshallen - Rathenauplatz - Henriettenplatz - Joachim-Friedrichstr. - Lehninerplatz - U-Bhf. Adenauerplatz - Olivaerplatz - Sächsischestr. - Uhlandstr. - Joachimstalerstr. - U-Bhf. Kurfürstendamm - Kantstr. - Breitscheidplatz - Bayreutherstr. - Lützowplatz - Tiergartenstr. - Großer Stern - Entlastungsstr. - Reichstag,20,37,,1982,west,
7,autobus,"U-Bhf. Alt-Mariendorf - Körtingstr. - Rennbahn Mariendorf - Pilatusweg - Titlisweg - Säntisstr. - Daimlerstr. - Brandaustr. - Buckowerchaussee - Nahmitzerdamm - Nunsdorfer Ring - Sperenbergerstr. - Schichauweg - Lichtenrade, Motzenerstr. Egestorffstr.",15,15,,1982,west,
70,autobus,Wollankstr. Ecke Kattegatstr. - Elisabeth-Friedhof - Soldinerstr. - Osloerstr. - U-Bhf. Pankstr. - Brunnenplatz - Wiesenstr. - Nettelbeckplatz - Müllerstr. - Am Nordhafen - Lehrterstr. - Stephanstr. - Rathenowerstr. - Birkenstr. - Turmstr. - Wilsnackerstr. - Krankenhaus Moabit - U-Bhf. Turmstr. - Rathaus Tiergarten - Ottostr. - Waldstr./Beusselstr. - Berlichingenstr. - Moabit Wiebestr.,12,34,,1982,west,
