stop_order,stop_id,line_id,distance_meters
15,1960277_unified,196021_unified,
0,1960278_unified,196022_unified,1297.5716092005384
1,1960279_unified,196022_unified,843.9181528214382
2,1960280_unified,196022_unified,923.0637580533673
3,1960281_unified,196022_unified,1864.2919665361778
4,1960282_unified,196022_unified,423.97051581900956
5,1960283_unified,196022_unified,1353.1701079335235
6,1960284_unified,196022_unified,1727.3599523950345
7,1960285_unified,196022_unified,2288.2017897319465
8,1960286_unified,196022_unified,1625.855799062242
9,1960287_unified,196022_unified,829.4837724101997
10,1960288_unified,196022_unified,1295.94705058729
11,1960289_unified,196022_unified,683.4906080294852
12,1960290_unified,196022_unified,1442.100514657616
13,1960291_unified,196022_unified,1279.8947041327096
14,1960292_unified,196022_unified,
0,1960293_unified,196023_unified,13.054854312770969
1,1960294_unified,196023_unified,781.3647922263601
2,1960295_unified,196023_unified,279.9617859635554
3,1960296_unified,196023_unified,1475.0733917139291
4,1960297_unified,196023_unified,332.2958997369602
5,1960298_unified,196023_unified,623.2689922839165
6,1960299_unified,196023_unified,1190.0024306273913
7,1960300_unified,196023_unified,1176.2770513881874
8,1960301_unified,196023_unified,955.1140117057815
9,1960302_unified,196023_unified,417.606372489457
10,1960303_unified,196023_unified,814.067100964369
11,1960304_unified,196023_unified,1452.781708400203
12,1960305_unified,196023_unified,1281.9793918127125
13,1960306_unified,196023_unified,637.3262067756764
14,1960307_unified,196023_unified,
0,1960308_unified,196024_unified,62.234457003976516
1,1960309_unified,196024_unified,1237.8015384307923
2,1960310_unified,196024_unified,1821.6860737195434
3,1960311_unified,196024_unified,1045.3047280602882
4,1960312_unified,196024_unified,1041.4848409587153
5,1960313_unified,196024_unified,1069.0672976286655
6,1960314_unified,196024_unified,1456.6842280430742
7,1960315_unified,196024_unified,674.2625090325713
8,1960316_unified,196024_unified,
0,1960317_unified,196025_unified,1242.2601145129001
1,1960318_unified,196025_unified,1821.6860737195434
2,1960319_unified,196025_unified,1045.3047280602882
3,1960320_unified,196025_unified,1041.4848409587153
4,1960321_unified,196025_unified,1069.0672976286655
5,1960322_unified,196025_unified,1302.451933209682
6,1960323_unified,196025_unified,146.66885649987557
7,1960324_unified,196025_unified,996.5918225257915
8,1960325_unified,196025_unified,773.1933813768942
9,1960326_unified,196025_unified,481.3574374295545
10,1960327_unified,196025_unified,
0,1960328_unified,196026_unified,775.0930023729057
1,1960329_unified,196026_unified,26.094993389694515
2,1960330_unified,196026_unified,246.7617867277958
3,1960331_unified,196026_unified,185.2903732947849
4,1960332_unified,196026_unified,436.58360732569287
5,1960333_unified,196026_unified,887.0177527243952
6,1960334_unified,196026_unified,205.3851514361842
7,1960335_unified,196026_unified,299.5581484318537
8,1960336_unified,196026_unified,
0,1960337_unified,196027_unified,726.1566184818912
1,1960338_unified,196027_unified,1091.0616540253054
2,1960339_unified,196027_unified,899.5907197278511
3,1960340_unified,196027_unified,2294.0029590324457
4,1960341_unified,196027_unified,1271.9479101458073
5,1960342_unified,196027_unified,1196.1125787904953
6,1960343_unified,196027_unified,754.1106971507196
7,1960344_unified,196027_unified,1446.2803243425697
8,1960345_unified,196027_unified,926.2361328734613
9,1960346_unified,196027_unified,929.779800682966
10,1960347_unified,196027_unified,722.4264241258195
11,1960348_unified,196027_unified,1262.658622359512
12,1960349_unified,196027_unified,1041.4848409587153
13,1960350_unified,196027_unified,1069.0672976286655
14,1960351_unified,196027_unified,1456.6842280430742
15,1960352_unified,196027_unified,643.6471597493882
16,1960353_unified,196027_unified,1020.0878205245048
17,1960354_unified,196027_unified,616.0777014132343
18,1960355_unified,196027_unified,752.6101523730678
19,1960356_unified,196027_unified,
0,1960357_unified,196028_unified,726.1566184818912
1,1960358_unified,196028_unified,1091.0616540253054
2,1960359_unified,196028_unified,899.5907197278511
3,1960360_unified,196028_unified,2294.0029590324457
4,1960361_unified,196028_unified,1271.9479101458073
5,1960362_unified,196028_unified,1196.1125787904953
6,1960363_unified,196028_unified,754.1106971507196
7,1960364_unified,196028_unified,1446.2803243425697
8,1960365_unified,196028_unified,926.2361328734613
9,1960366_unified,196028_unified,929.779800682966
10,1960367_unified,196028_unified,722.4264241258195
11,1960368_unified,196028_unified,1262.658622359512
12,1960369_unified,196028_unified,1041.4848409587153
13,1960370_unified,196028_unified,822.1486568873868
14,1960371_unified,196028_unified,
0,1960372_unified,196029_unified,1650.5527899115757
1,1960373_unified,196029_unified,1243.1461206381327
2,1960374_unified,196029_unified,1315.8113094900843
3,1960375_unified,196029_unified,1485.441782351224
4,1960376_unified,196029_unified,651.7638681891619
5,1960377_unified,196029_unified,1220.1154139057987
