,stop_name,type,in_lines,location,identifier,previous_in_lines,stop_description
137,Spandau West,s-bahn,"['KBS 157', 'KBS 158']","52.5347,13.1958",Q111325678,"['KBS 101', 'KBS 103']+ ['KBS 103a', 'KBS 101', 'KBS 103']+ KBS 103,KBS 103a,KBS 101+ KBS 101,KBS 103a+ KBS 100a,KBS 100g+ ['KBS 100a', 'KBS 100g']+ ['KBS 157', 'KBS 158']",nan+ nan+ Spandau West+ S-Bahnhof Berlin Spandau+ S-Bahnhof Berlin Spandau+ nan+ nan
138,Spichernstr. (Bundesallee),u-bahn,"['9', '2']","52.496388888889,13.330555555556",Q667046,"B II,A II+ A II+ ['9', '2']+ ['2', '9']",Spichernstraße metro station+ Spichernstraße metro station+ nan+ nan
139,Staaken,s-bahn,['KBS 157'],"52.5378,13.1414",Q477545,['KBS 101']+ ['KBS 101']+ KBS 101+ ['KBS 100a']+ ['KBS 158'],nan+ nan+ Berlin-Staaken station+ nan+ nan
140,Steglitz,s-bahn,['KBS 154'],"52.4562,13.3216",Q111264179,['KBS 104a']+ ['KBS 104']+ ['KBS 104']+ KBS 104+ KBS 104+ KBS 100e+ ['KBS 100e']+ ['KBS 154']+ 1,nan+ nan+ nan+ S-Bahnhof Rathaus Steglitz+ S-Bahnhof Rathaus Steglitz+ S-Bahnhof Rathaus Steglitz+ nan+ nan+ nan
141,Sundgauer Str.,s-bahn,['KBS 154'],"52.436291,13.273772",Q800513,['KBS 104a']+ ['KBS 104']+ ['KBS 104']+ KBS 104+ KBS 104+ KBS 100e+ ['KBS 100e']+ ['KBS 154'],nan+ nan+ nan+ Berlin Sundgauer Straße station+ Berlin Sundgauer Straße station+ Berlin Sundgauer Straße station+ nan+ nan
142,Südende,s-bahn,['KBS 153'],"52.4481,13.3536",Q800511,['KBS 103']+ ['KBS 106']+ ['KBS 106']+ KBS 106+ KBS 106+ KBS 100d+ ['KBS 100d']+ ['KBS 153']+ ['KBS 153']+ 153,nan+ nan+ nan+ Südende station+ Südende station+ Südende station+ nan+ nan+ nan+ nan
143,Südstern,u-bahn,['7'],"52.489444444444,13.407777777778",Q656081,['C I']+ ['C I']+ C I+ C I+ C I+ ['7']+ ['7']+ ['7']+ 7+ 7+ 7,nan+ nan+ Südstern+ Südstern+ Südstern+ nan+ nan+ nan+ nan+ nan+ nan
144,Tegel,s-bahn,"['KBS 153', 'KBS 152']","52.5886,13.2894",Q800493,['KBS 105']+ ['KBS 105']+ ['KBS 105']+ KBS 105+ KBS 105+ KBS 100c+ ['KBS 100c']+ ['KBS 152']+ ['KBS 153']+ 153,nan+ nan+ nan+ Berlin-Tegel railway station+ Berlin-Tegel railway station+ Berlin-Tegel railway station+ nan+ nan+ nan+ nan
145,Tegel,u-bahn,['6'],"52.58944,13.28389",Q656090,"C II,C I+ C I+ C I+ ['6']+ ['6']+ ['6']+ 6+ 6+ 6",Alt-Tegel metro station+ Alt-Tegel metro station+ Alt-Tegel metro station+ nan+ nan+ nan+ nan+ nan+ nan
146,Tempelhof,s-bahn,['KBS 150'],"52.4708,13.3854",Q111264368,"['KBS 100']+ ['KBS 100a', 'KBS 100']+ ['KBS 100', 'KBS 100a']+ KBS 100a,KBS 100+ KBS 100a,KBS 100+ KBS 100,KBS 100k+ ['KBS 100k', 'KBS 100']+ ['KBS 151', 'KBS 150']",nan+ nan+ nan+ S-Bahnhof Berlin-Tempelhof+ S-Bahnhof Berlin-Tempelhof+ S-Bahnhof Berlin-Tempelhof+ nan+ nan
147,Tempelhof,u-bahn,['6'],"52.47075,13.385361111111",Q3983109,['6']+ ['6']+ ['6']+ 6+ 6+ 6,nan+ nan+ nan+ nan+ nan+ nan
148,Theodor-Heuss-Platz,u-bahn,['1'],"52.509722222222,13.273055555556",Q657857,A I+ ['1']+ ['1']+ ['1']+ 1+ 1+ 1,nan+ nan+ nan+ nan+ nan+ nan+ nan
