stop_name,type,location,in_lines,identifier,east-west
Ruppiner Chaussee,bus,"52.59792202028554, 13.275075196373528",A13,,West
Rüdesheimer Platz,u-bahn,"52.473333333333,13.314444444444","A II,B II",Q167147,West
Rügener Strasse,bus,"52.544791277773946, 13.391067616355128","A61,A71,A14",,West
Saaleckplatz,bus,"52.41629158246214, 13.323941962356194",A17,,West
Saargemünder Strasse,bus,"52.450918082089416, 13.270922488527036","A18, A11",",",West
Saatwinkler Damm,bus,"52.54802938567344, 13.300569461587116",A62,,West
Savignyplatz,s-bahn,"52.5051746,13.3190659","KBS 101,KBS 102",Q554382,West
Scharfestrasse,bus,"52.43828828643976, 13.262213345971533",A18,,West
Scharnweberstr. (Eichborndamm),u-bahn,"52.566944444444,13.312777777778",C I,Q557586,West
Scharnweberstrasse,bus,"52.567891242257375, 13.31193029694028",A21,,West
Schillingstrasse,bus,"52.56595360108564, 13.320255053064429",A61,,West
Schlachtensee,bus,"52.440164224898425, 13.214629432022623",A53,,West
Schlachtensee,s-bahn,"52.4401,13.2153",KBS 104,Q800509,West
Schlesisches Tor,u-bahn,"52.500833333333,13.441666666667","B II,B I",Q602282,West
Schloss Glienicke,bus,"52.41321315212787, 13.096214143840962",A6,,West
Schloss Ruhwald,bus,"52.521567840298836, 13.260569641184494",AS1,,West
Schloss Ruhwald,strassenbahn,"52.52160139428261, 13.260396465216335","53,54",,West
SchlossBrücke,bus,"52.52277864874118, 13.300093422040403",A65,,West
SchlossStrasse,bus,"52.456909123066914, 13.320715400125325",A32,,West
Schlossstrasse,bus,"52.46502319139203, 13.328512641123645",A74,,West
Schlossstrasse,strassenbahn,"52.4649279288063, 13.328420834164818","73,,74,77,78",,West
Schlossstrasse Ecke Seelingstrasse,bus,"52.51569806814604, 13.296301299533223",A74,,West
"Schlossstrasse, Wilhelm-Schreiber-Platz",bus,"52.46497175478016, 13.328534991548652",AS2,,West
Schloßstrasse Ecke Feuerbachstrasse,bus,"52.4631173264433, 13.326724826984016",A2,,West
Schmargendorf,s-bahn,"52.479672222222,13.312441666667",KBS 100,Q302810,West
Schopenhauer-Strasse Ecke Spanische Allee,bus,"52.433960489825, 13.212025866542618",A3,,West
Schulenburgpark,strassenbahn,"52.466660612786704, 13.470292593214328","15,95",,West
Schulstrasse Ecke Exerzierstrasse,bus,"52.55396008849384, 13.371500780047201",A64,,West
Schulzendorf (b Tegel),s-bahn,"52.6128,13.2462",KBS 105,Q800487,West
Schulzendorfer Strasse,bus,"52.61057476279662, 13.295480649416259",A15,,West
Schwarzer Weg Ecke Sonnenallee,strassenbahn,"52.46218348846541, 13.477104416215733",95,,West
Schwedenstrasse Ecke Exerzierstrasse,bus,"52.55376624875929, 13.377160797243135",A64,,West
Schwelmer Strasse Ecke Ostpreußendamm,strassenbahn,"52.41219656071037, 13.29903796654036",96,,West
Schwiezerhaus,bus,"52.46177834654878, 13.133492629933269",A34,,West
Schäferberg,bus,"52.41562661861071, 13.12630868100336",A6,,West
"Schäfersee, Pankower Allee",bus,"52.56403098912502, 13.36417150367161",A71,,West
Schöneberg,s-bahn,"52.4794,13.3517","KBS 104,KBS 100a,KBS 100",Q543855,West
Schönholz,s-bahn,"52.5714,13.3814","KBS 105,KBS 106",Q800490,West
Schützallee Ecke Onkel-Tom-Strasse,bus,"52.4406263121593, 13.255177908871318",A66,,West
Sebastianfriedhof,bus,"52.571002500013684, 13.336360943589446",A61,,West
SedanStrasse,bus,"52.451462388098534, 13.33534176193218",A32,,West
Sedanstrasse,bus,"52.45143021733514, 13.335289250392284",A33,,West
Seeburger Strasse,strassenbahn,"52.52919074855153, 13.195613280527734","75,76",,West
Seegefelder Weg,bus,"52.549813200063646, 13.128679816115987",A63,,West
Seestr.,u-bahn,"52.55056,13.35194",C I,Q554391,West
Seestrasse Ecke Afrikanische Strasse,bus,"52.54621084537532, 13.34400593216248",A64,,West
Seidelstr. (Flughafen Tegel),u-bahn,"52.571111,13.302778",C I,Q557582,West
Siemensstadt,s-bahn,"52.53923,13.26365",KBS 100c,Q96080453,West
Siemensstadt-Fürstenbrunn,s-bahn,"52.528,13.2695",KBS 103a,Q18747940,West
Silbersteinstrasse,strassenbahn,"52.46723844998069, 13.438467144199928","47,26",,West
Skalitzer Strasse,bus,"52.49920062327321, 13.426780617093764",A75,,West
Sonnenallee,s-bahn,"52.473,13.4558",KBS 100,Q481364,West
Sonnenallee,strassenbahn,"52.46218348846541, 13.477104416215733","95P,26",,West
Sophie-Charlotte-Platz,u-bahn,"52.510833333333,13.296666666667","A I,B I",Q657879,West
Sophie-Charlotten-Platz,strassenbahn,"52.51092145563256, 13.296262773242288",60,,West
Sophie-Charlotten-Strasse,bus,"52.44594955353092, 13.267788405970709",A18,,West
Spandau,s-bahn,"52.532, 13.2089","KBS 101,KBS 103a",Q800491,West
Spandau West,s-bahn,"52.5347,13.1958","KBS 101,KBS 103a",Q111325678,West
"Spandau, Friedhof",bus,"52.553136286584845, 13.179674445908985",A34,,West
"Spandau, Markt",strassenbahn,"52.53784349532438, 13.204135429364628","53,55,54,76,75",,West
Spandauer Damm,bus,"52.51838420899177, 13.280076964056246","A10,A74",,West
Spandauer Strasse,bus,"52.535940922541684, 13.156793426342295",A31,,West
Spichernstr. (Bundesallee),u-bahn,"52.496388888889,13.330555555556",A II,Q667046,West
Spichernstrasse Ecke Bundesallee,bus,"52.49638829618181, 13.330865963780257",A2,,West
Spreewaldplatz,bus,"52.49746662927152, 13.43173832995115",A75,,West
Spreewaldplatz,strassenbahn,"52.49792227545992, 13.430617008810609","27,26",,West
St lpchensee,bus,"52.409430239790396, 13.14381794619846",A18,,West
Staakener Strasse,bus,"52.536487084911975, 13.190823566060091",A63,,West
Stadion Lichterfelde,bus,"52.43867922703144, 13.325050443019501",A17,,West
Stadtpark,bus,"52.44890555557147, 13.338827669086982",A17,,West
Stadtrandstrasse,bus,"52.553426999619965, 13.153585430700852",A5,,West
Stegerwaldstrasse,bus,"52.42073935358918, 13.369265336797783",A32,,West
Steglitz,s-bahn,"52.4562,13.3216",KBS 104,Q111264179,West
Steglitzer Damm Ecke Halske Strasse,bus,"52.45003047744661, 13.346670686507988",A2,,West
StindeStrasse,bus,"52.44812122178611, 13.340103869265922",A32,,West
Strasse 393,bus,"52.54346134229288, 13.156333109553433",A63,,West
Strasse nach Staatwinkel,bus,"52.561964827739885, 13.254588036270711",A13,,West
Stresowplatz,bus,"52.53362877636616, 13.206781830760963","A5,A31",,West
StromStrasse,bus,"52.52632226250912, 13.34326443872038",A24,,West
Stromstrasse,bus,"52.52631690374401, 13.343146315837002",A70,,West
Stromstrasse Ecke Alt-Moabit,strassenbahn,"52.525423127112404, 13.34283986840417",2,,West
Stubenrauchstrasse,strassenbahn,"52.42422390261997, 13.485461375958135",47,,West
Stuttgarter Platz,bus,"52.50551610729052, 13.302923303561508","A74,A21",,West
Stuttgarter Platz,strassenbahn,"52.50566810519856, 13.306864497506904",60,,West
Städtische Frauenklinik,strassenbahn,"52.463656969889136, 13.424616755091188",26,,West
"Stölpchensee, Wilhelmplatz",bus,"52.41240583089011, 13.141644518533106",A3,,West
StößenseeBrücke,strassenbahn,"52.508894368243524, 13.217475972829826","75,76",,West
Sundgauer Str.,s-bahn,"52.436291,13.273772",KBS 104,Q800513,West
Sundgauer Strasse,bus,"52.43838201264951, 13.271447959003352",A48,,West
Sundgauer Strasse,bus,"52.4455796617832, 13.267631906214019",AS3,,West
Sydlitzstrasse Ecke Kaiser-Wilhelm-Strasse,strassenbahn,"52.43195972077168, 13.338109786819931",96,,West
Südende,s-bahn,"52.4481,13.3536",KBS 106,Q800511,West
Südstern,bus,"52.488958649509335, 13.40781379557614",A28,,West
Südstern,u-bahn,"52.489444444444,13.407777777778",C I,Q656081,West
"Tauernallee, Adlermühle",bus,"52.42337464834511, 13.396185392179197",AS2,,West
Tauroggener Strasse Ecke Osnabrücker Strasse,bus,"52.525838744600904, 13.301852064700281",A72,,West
Tauroggener Strasse Ecke Osnabrücker Strasse,strassenbahn,"52.525838744600904, 13.301970081896242",3,,West
Tegel,s-bahn,"52.5886,13.2894",KBS 105,Q800493,West
Tegel,u-bahn,"52.58944,13.28389",C I,Q656090,West
Tegeler Strasse Ecke Trifstrasse,bus,"52.543256497451154, 13.356263568406057",A64,,West
Tegelort,bus,"52.5705390073051, 13.231220862666484",A20,,West
Teichstrasse,bus,"52.57435884050963, 13.34777330742025",A61,,West
Teltower Damm,bus,"52.43504474561002, 13.2604425311939","A10,A48,A53",,West
Teltower Strasse,bus,"52.52691807826059, 13.215807069988056","AS1,A5,A31",,West
Teltower Strasse,strassenbahn,"52.52691412538678, 13.215987693499372","53,54",,West
Tempehofer Damm Ecke Friedrich-Karl-Strasse,bus,"52.45581544855384, 13.383950601851975",A68,,West
Tempelhof,s-bahn,"52.4708,13.3854","KBS 100a,KBS 100",Q111264368,West
Tempelhof (Südring),u-bahn,"52.47075,13.385361111111",C II,Q3983109,West
Tempelhofer Damm,bus,"52.48422430539437, 13.385891408286207",A24,,West
Tempelhofer Damm Ecke Friedrich-Karl-Strasse,bus,"52.4557662805014, 13.383913574584998",A25,,West
Tempelhofer Weg Ecke Britzer Damm,bus,"52.448934594274505, 13.43628485305219",A25,,West
Tempelhofer Weg Ecke Britzer Damm,strassenbahn,"52.448934594274505, 13.43628485305219",27,,West
Thielallee/Pacelliallee,bus,"52.458161495962216, 13.28707254649315",A68,,West
Thielplatz,u-bahn,"52.451111111111,13.282222222222","A II,B II",Q571331,West
Thorwaldsenstrasse,strassenbahn,"52.46136534165126, 13.345121264246712",66,,West
Thuner Platz,bus,"52.42375896990032, 13.296184869051308",A53,,West
Thuyring,bus,"52.47483046693383, 13.385744435858946","A77,A76",,West
Tiergarten,s-bahn,"52.5144,13.3365","KBS 101,KBS 102",Q572112,West
Tiergartenstrasse,bus,"52.50960312444174, 13.351320889801638","A69,A16,A24",,West
Tor 5,bus,"52.58357682284558, 13.320522582904216",A15,,West
Trabener Strasse,bus,"52.49310178577124, 13.275431330442801",A69,,West
Traegerstrasse,strassenbahn,"52.476296219875636, 13.341188525686016",66,,West
Transvaalstrasse Ecke Africkanische Strasse,bus,"52.55033805772127, 13.339109780046835",A64,,West
Triftweg,bus,"52.431024618021745, 13.45739670616807",A52,,West
Trippsteinstrasse,bus,"52.41893958981137, 13.346149658204126","A11,A2",,West
TurmStrasse,bus,"52.52628495236362, 13.343149398961996",A16,,West
Turmstrasse Ecke Stromstrasse,bus,"52.52631573511827, 13.34320006470035",A72,,West
Turmstrasse/Rathenower Strasse,bus,"52.52677998083022, 13.355183467556872",A70,,West
U-Bhf Kottbusser Tor,bus,"52.499051258453434, 13.418359009880978",A28,,West
U-Bhf. Boddinstrasse,bus,"52.48028651973042, 13.425279574612379",A4,,West
U-Bhf. Boddinstrasse,strassenbahn,"52.48027865367161, 13.4251690465859",27,,West
U-Bhf. Bülowstrasse,bus,"52.49787469517453, 13.362124599310649","A48,A75",,West
U-Bhf. Bülowstrasse,strassenbahn,"52.4977947071403, 13.362041491653272","73,74",,West
U-Bhf. Dahlem-Dorf,bus,"52.45807069736877, 13.289706947871178",A68,,West
U-Bhf. Ernst-Reuter-Platz,bus,"52.51164603099566, 13.322290858670174","A25,A62,AS1",,West
U-Bhf. Ernst-Reuter-Platz,strassenbahn,"52.511726576083134, 13.32260139821175",55,,West
U-Bhf. Fehrbelliner Platz,bus,"52.490390927187676, 13.31417745809863","A1,A4,A21,AS3",,West
U-Bhf. Flughafen,bus,"52.48488595983176, 13.38599654703171","A19,A4",,West
U-Bhf. Flughafen,strassenbahn,"52.484779980367215, 13.385962227231367",96,,West
U-Bhf. Gesundbrunnen,bus,"52.548660755358114, 13.387873629581087","A14,A64",,West
U-Bhf. Grenzallee,bus,"52.46369510254238, 13.444231731166557",A67,,West
U-Bhf. Grenzallee,strassenbahn,"52.46348178875844, 13.444377273631815",47,,West
U-Bhf. Hallesches Tor,bus,"52.497910015148264, 13.391307667735301",A24,,West
U-Bhf. Heidelberg Platz,bus,"52.48042873572808, 13.31278632857391",A65,,West
U-Bhf. Heidelberger Platz,bus,"52.48006162214815, 13.312159920359697",A60,,West
U-Bhf. Kaiserdamm,bus,"52.50999451351762, 13.28180313022396","A65,A10",,West
U-Bhf. Kochstrasse,bus,"52.50669823641868, 13.390503218886558",A75,,West
U-Bhf. Kottbusser Tor,bus,"52.499122758255055, 13.4182411702772",A67,,West
U-Bhf. Krumme Lanke,bus,"52.44308074990891, 13.24046555211665","A3,A53",,West
U-Bhf. Kurt-Schumacher-Platz,bus,"52.56338157214657, 13.32719915637487","A61,A62",,West
U-Bhf. Leinestrasse,strassenbahn,"52.473591021401894, 13.428015562483331",27,,West
U-Bhf. Leopold-Platz,bus,"52.54640033291444, 13.359096803326494",A12,,West
U-Bhf. Moritzplatz,bus,"52.50366899509004, 13.41055755394872",A75,,West
U-Bhf. Neukölln,strassenbahn,"52.46965567921364, 13.441614939772098","15,47,26",,West
U-Bhf. Onkel-Toms-Hütte,bus,"52.45007713385221, 13.251272593463492","A3,A66",,West
U-Bhf. Oskar-Helene-Heim,bus,"52.450279005868815, 13.270361987159156","A1,A11,AS3,A3,A18",,West
U-Bhf. Prinzenstrasse,bus,"52.49844153838657, 13.406643837212261",A28,,West
U-Bhf. Ruhleben,bus,"52.52596833151868, 13.241478578696297","AS1,A5,A31",,West
U-Bhf. Ruhleben,strassenbahn,"52.52595776615238, 13.241371866188729","53,54",,West
U-Bhf. Rüdesheimer Platz,bus,"52.4720831087791, 13.314909778144818",A17,,West
"U-Bhf. Scharnweberstrasse, Sportplatz",bus,"52.56792223040469, 13.311949805424875",A61,,West
U-Bhf. Schlesisches Tor,bus,"52.50108419874335, 13.441971259873345",A28,,West
U-Bhf. Seestrasse,bus,"52.550315408708514, 13.352298502985231","A12,A16",,West
U-Bhf. Seestrasse,strassenbahn,"52.5502459,13.3516304",3,Q65729619,West
U-Bhf. Südstern,strassenbahn,"52.48899443353793, 13.40800672025058",3,,West
U-Bhf. Tegel,bus,"52.589503132547385, 13.283630715732999","A15,A20,A14,A13",,West
U-Bhf. Tempelhof,bus,"52.4698750992553, 13.38558705982547","A77,A76",,West
U-Bhf. Thielplatz,bus,"52.45104520805668, 13.281736418792137",A10,,West
Uhlandstrasse,bus,"52.49368292097469, 13.323611381015645",A50,,West
Uhlandstrasse,bus,"52.50252020955797, 13.325204349014482",A29,,West
Uhlandstrasse Ecke Kurfürstendamm,bus,"52.502532428867724, 13.325280453057784",A69,,West
Unionplatz,bus,"52.533059397499464, 13.337278814540305",A25,,West
Unter den Eichen Ecke Drakestrasse,bus,"52.445733691746746, 13.293722374035292",A11,,West
Unter den Eichen Ecke Habelschwerdter Allee,bus,"52.44576670649539, 13.293707828835997",A11,,West
Urban-Krankenhause,bus,"52.493469358698874, 13.406245116325284",A28,,West
Usedomer Strasse,bus,"52.541120501957316, 13.393769565044664",A71,,West
Verwaltungs-Gebäude,bus,"52.537063326963775, 13.262285169635492",A10,,West
Viersener Strasse,bus,"52.54020417705652, 13.17462661157195",A63,,West
Viersener Strasse,bus,"52.54873823655914, 13.17802517662475",A5,,West
Viktoria-Luise-Platz,u-bahn,"52.496161111111,13.342702777778",B III,Q178685,West
Virchow-Krankenhaus,bus,"52.54371513062133, 13.339317916518894",A16,,West
Vogelsang,bus,"52.45939482396207, 13.280296976660761",A68,,West
Voltastr.,u-bahn,"52.542093,13.393022",D,Q663308,West
Voltastrasse Ecke Watt Strasse,strassenbahn,"52.54152997238806, 13.389571756575245",2,,West
Waidmannslust,s-bahn,"52.6064,13.321",KBS 106,Q800492,West
Waldemarplatz,bus,"52.43775537029681, 13.220189780766606",A53,,West
Waldemarstrasse,bus,"52.50326279588436, 13.420631417701001",A28,,West
Walderseestrasse,bus,"52.575655932178144, 13.228965833395124",A20,,West
Waldfriedhof,bus,"52.42599572508999, 13.209246048971062",A18,,West
Waldkrankenhaus,bus,"52.56214542863615, 13.158340085815741",A5,,West
Waldstrasse,bus,"52.60193428053164, 13.306047505406614","A1,A20",,West
Waldstrasse Ecke Turmstrasse,bus,"52.52723999918061, 13.33057857025633","A72, A1",,West
Waldstrasse/Gotzkowskystrasse,bus,"52.52721622390326, 13.330524512340718",A70,,West
Wannsee,Fähre,"52.421928022812146, 13.175815964118582",Wannsee<>Kladow (Betrieb durch Stern und Kreisschiffahrt),,West
Wannsee,s-bahn,"52.4214,13.1792","KBS 104,KBS 102",Q111325896,West
Warnem nder Strasse,bus,"52.47539576569938, 13.290488880070722",A17,,West
Warnemünder/Berkaer Strasse,bus,"52.47543626291202, 13.290288437340868",A60,,West
Wedding,s-bahn,"52.5425,13.3661",KBS 100,Q638604,West
Weddingplatz,bus,"52.54113612364086, 13.368501029385115","A70,A72",,West
Weddingplatz,strassenbahn,"52.54152535588228, 13.369198549039789",2,,West
Weichselstrasse,strassenbahn,"52.48313752772782, 13.431480309407663","47,26",,West
Weinmeisterhornweg,bus,"52.50924681744358, 13.180314851039075","A34,A35",,West
Weinmeisterhornweg,bus,"52.511043998847086, 13.171645488962428",A13,,West
Wentowsteig,bus,"52.59694371557204, 13.360462949429833",A21,,West
Wernerwerk,s-bahn,"52.534863,13.27599",KBS 100c,Q96077001,West
Westend,s-bahn,"52.5181,13.2844",KBS 100,Q323214,West
Westkreuz,s-bahn,"52.5011,13.2839","KBS 101,KBS 102,KBS 100",Q678125,West
"Weverstrasse, Strassenbahnhof",strassenbahn,"52.51946975407937, 13.19781896484702","75,76",,West
Wiebestrasse,bus,"52.53119512537686, 13.319063771537584",A24,,West
Wiebestrasse Ecke Kaiserin-Augusta-Allee,bus,"52.52580214309624, 13.317979171208343",A72,,West
Wiebestrasse Ecke Kaiserin-Augusta-Allee,strassenbahn,"52.52581805493254, 13.31804267301598",3,,West
"Wiebestrasse, Strassenbahnhof",bus,"52.53066666255053, 13.319314794959219",A70,,West
Wiener Brücke,bus,"52.49588477409083, 13.43650068505988",A75,,West
Wiener Brücke,strassenbahn,"52.49588477409083, 13.43650068505988","92,87",,West
Wiesbadener Strasse,bus,"52.47164544021605, 13.319516803491332",A16,,West
Wiesenbaude,bus,"52.430495242672045, 13.31180861060395",A11,,West
Wiesenbaude,strassenbahn,"52.43330952304924, 13.307272184416341","73,74",,West
Wiesenstrasse,bus,"52.54763571080132, 13.373871074090278",A70,,West
Wilderbruchstrasse Ecke Sonnenallee,strassenbahn,"52.48172850402205, 13.440160266547615",3,,West
Wildmeisterdamm,bus,"52.425839839495815, 13.48325607958456",A52,,West
Wildmeisterdamm,strassenbahn,"52.426124062490864, 13.48276594555747",47,,West
Wilhelmsruh,s-bahn,"52.5814,13.3631",KBS 106,Q800495,West
Wilhelmstrasse,bus,"52.43057879952989, 13.318592903820731",A17,,West
Wilhelmstrasse Ecke Pichelsdorferstrasse,bus,"52.527959605404874, 13.195282802302891","A35,A34",,West
Wilmersdorf,s-bahn,"52.477658333333,13.328525","KBS 100a,KBS 100",Q464094,West
Wilmersdorfer Strasse,bus,"52.499967660537735, 13.306987838785277","A19,A29",,West
Wilmersdorfer Strasse,strassenbahn,"52.506692000645316, 13.306692426875525","75,76",,West
Wilmersdorfer Strasse Ecke Kurfürstendamm,bus,"52.50002844680595, 13.307125123915897",A69,,West
Wilmersdorfer Strasse Ecke Kurfürstendamm,strassenbahn,"52.500032680363084, 13.307221456574052",3,,West
Wilmersdorfer Strasse Ecke Otto-Suhr-Alle,strassenbahn,"52.518112442546, 13.304359726984016",3,,West
Winfriedstrasse,bus,"52.437562011852606, 13.269450173477841",AS3,,West
Winifriedstrasse Ecke Clayallee,bus,"52.439229231714734, 13.262871381887154",A3,,West
Wismarer Strasse,bus,"52.42195191841697, 13.2985053942209",A1,,West
Wismarer Strasse,strassenbahn,"52.42195291492597, 13.29850599537737",77,,West
Wismarer Strasse Ecke Ostpreußendamm,strassenbahn,"52.41786193949108, 13.305195152904869",96,,West
Wittenau,bus,"52.596084138285406, 13.332857679505645",A62,,West
Wittenau (Kremmener Bahn),s-bahn,"52.597013,13.334329",KBS 105,Q111264319,West
Wittenau (Nordbahn),s-bahn,"52.597013,13.334329",KBS 106,Q111264319,West
Wittenbergplatz,bus,"52.50188939146253, 13.342697883756577","A73,A60,A62,A29,A19",,West
Wittenbergplatz,strassenbahn,"52.50185025953713, 13.343098350806866","2,55,77,78",,West
Wittenbergplatz,u-bahn,"52.501944444444,13.343055555556","A II,A I,B II,B I",Q692727,West
Witzleben,s-bahn,"52.5078,13.2836",KBS 100,Q321266,West
Wolburgsweg,bus,"52.550616013150325, 13.16810722103831",A5,,West
Wollankstr.,s-bahn,"52.5651525,13.3923627","KBS 105,KBS 106",Q800515,West
Wolzogenstrasse,bus,"52.43229985926568, 13.235719207112487",A18,,West
Yorckstr.,s-bahn,"52.491777777778,13.372141666667","KBS 105,KBS 106",Q21776729,West
Yorckstrasse,bus,"52.49358813377981, 13.384967556749217",A28,,West
Yorckstrasse,strassenbahn,"52.492901206042376, 13.387766831697483",96,,West
Zabel-Krüger-Damm,bus,"52.60786610541416, 13.323845802997752",A12,,West
Zappoter/Oeynhauser Strasse,bus,"52.47331132628728, 13.298669291589876",A60,,West
Zehlendorf,s-bahn,"52.4309,13.2584","KBS 104,KBS 104a",Q737962,West
Ziekowstrasse,bus,"52.59059426195262, 13.292011153010927",A14,,West
Zitadellenweg,strassenbahn,"52.5377758132997, 13.217204249093342",55,,West
ZobeltitzStrasse,bus,"52.56898257894375, 13.317202802475165",A61,,West
Zoologischer Garten,s-bahn,"52.507222222222,13.3325","KBS 101,KBS 102",Q111326238,West
Zoologischer Garten,u-bahn,"52.5058669,13.3330236","A I,B I",Q4024764,West
Zossener Strasse,bus,"52.49160676567746, 13.394443897793668",A28,,West
Zossener Strasse Ecke Blücherstrasse,strassenbahn,"52.49622054069677, 13.395106811633234",95,,West
Zum Heckeshorn,bus,"52.43307505069834, 13.164008736441371",A51,,West
ZweiBrücker Strasse,bus,"52.54677409100436, 13.188764018875105",A63,,West
