,stop_id,stop_name,type,location,in_lines,identifier,stop_description
962,1964962,Quellweg,strassenbahn,"52.53666578461771, 13.268432707290442",55,nan,Quellweg
963,1964963,Quellweg Ecke Nonnendamm Allee,bus,"52.536668576718114, 13.26843642898379",A99,nan,nan
964,1964964,Quellweg Ecke Nonnendamm Allee,bus,"52.53669973748767, 13.268424095389383",A72,nan,nan
965,1964965,RFT-Werk,strassenbahn,"52.436333488813574, 13.582428612664765","85,83",nan,nan
966,1964966,Radelandstrasse Ecke Niederheideweg,bus,"52.56622418682435, 13.157116704792886",A63,nan,nan
967,1964967,Rahnsdorf,s-bahn,"52.4516372,13.6899776",KBS 102,Q800489,Berlin-Rahnsdorf station
968,1964968,Rahnsdorf,strassenbahn,"52.443531694444445,13.685038",87,Q66361311,Rahnsdorf/Waldschänke
969,1964969,Rahnsdorfer Strasse,strassenbahn,"52.4985173,13.613101",83,Q66364532,nan
970,1964970,Ramlerstrasse,bus,"52.547125761071456, 13.389174502621508",A71,nan,Ramlerstrasse Ecke Brunnenstrasse
971,1964971,Ramlerstrasse Ecke Brunnenstrasse,bus,"52.54710869917004, 13.38914653586651",A64,nan,nan
972,1964972,"Rankeplatz, Bundeshaus",bus,"52.4977881279831, 13.330731790169496",AS2s,nan,"Rankeplatz, Bundeshaus"
973,1964973,Rankeplatz/Bundeshaus,bus,"52.49809490157239, 13.330706361912526",AS3s,nan,nan
974,1964974,Raschdorffstrasse Ecke Reginhardstrasse,bus,"52.57027526432082, 13.369912583442087",A79,nan,nan
975,1964975,Rathaus Mariendorf,bus,"52.44527453682428, 13.379492384246559",A33,nan,Rathaus Mariendorf
976,1964976,Rathaus Neukölln,u-bahn,"52.481666666667,13.434166666667",C I,Q628770,Rathaus Neukölln
977,1964977,Rathaus Reinickendorf,bus,"52.59178549505881, 13.326377240287412",A12S,nan,nan
978,1964978,Rathaus Schöneberg,bus,"52.48515473887597, 13.345086596743203","A4,A73,A16,A74",nan,nan
979,1964979,Rathaus Spandau,bus,"52.534578361518356, 13.199490942441287","A80,A35,A99,A31,A5,A63,A34,A13,AS1s",nan,Rathaus Spandau
980,1964980,Rathaus Spandau,strassenbahn,"52.53488081670858, 13.199058849732252","75,76",nan,Rathaus Spandau
981,1964981,Rathaus Steglitz,bus,"52.45563377647203, 13.321050784344678","A17,A85,A86,A84,A48,A68,A32",nan,Rathaus Steglitz
982,1964982,Rathaus Tempelhof,bus,"52.46300094221747, 13.385342238118488",A77,nan,nan
983,1964983,Rathaus Tiergarten,bus,"52.52649085974541, 13.338358982634196",A70,nan,Rathaus Tiergarten
984,1964984,Rathaus Wannsee,bus,"52.418440129670444, 13.148872492834737","AS4,A18,A3,A6",nan,Rathaus Wannsee
985,1964985,Rathaus Zehlendorf,bus,"52.433207520111885, 13.259531923613192","A66,AS3s,A1,A3,A53",nan,Rathaus Zehlendorf
986,1964986,Rathenauplatz,bus,"52.49561134930413, 13.286573746568635",A65,nan,Rathenauplatz
987,1964987,Rathenower Strasse,bus,"52.52673250798154, 13.355275614926985","A24,A99,A70",nan,Rathenower Strasse Ecke Turmstrasse
988,1964988,Rathenower Strasse,bus,"52.52677998083022, 13.355183467556872","A24,A99,A70",nan,Turmstrasse/Rathenower Strasse
989,1964989,Rathenower Strasse Ecke Perleberger Strasse,bus,"52.53252487206442, 13.350617083748922",A72,nan,nan
990,1964990,Rathenowerstrasse Ecke Alt-Moabit,bus,"52.52363004752155, 13.356848710196214",A90,nan,nan
991,1964991,Ravenestrasse Ecke Reinickdorferstrasse,bus,"52.542876245300114, 13.369805880257315",A70,nan,nan
992,1964992,Rehberge,u-bahn,"52.5567,13.3412",C I,Q253850,Rehberge
993,1964993,Reichpietsch-Ufer Ecke Potsdamer Strasse,bus,"52.5062993113283, 13.368504212582156",A83,nan,nan
994,1964994,Reichssportfeldstrasse,strassenbahn,"52.507514731015824, 13.242086696344282","75,76",nan,Reichssportfeldstrasse
995,1964995,Reimerweg Ecke Heerstrasse,bus,"52.521842035510815, 13.154307020090478",A92,nan,nan
996,1964996,Reinickendorf,s-bahn,"52.5779,13.3506",KBS 100c,Q800496,Berlin Alt-Reinickendorf station
997,1964997,Reinickendorfer Str.,u-bahn,"52.539911111111,13.370377777778",C I,Q559249,Reinickendorfer Straße
998,1964998,Reinickendorfer Strasse Ecke Schulstrasse,bus,"52.55154134842798, 13.367385622374945","A64,A79",nan,nan
999,1964999,Reinickendorferstrasse Ecke Osloer Strasse,bus,"52.55693290395323, 13.365584524321124",A89,nan,nan
1000,19641000,Rennbahn,bus,"52.431519887104706, 13.391508229384012","A76,A78",nan,nan
