stop_id,stop_name,type,in_lines,location,identifier,stop_id_1961,previous_in_lines,stop_description
152,"Bhf. Zoo, Kantstrasse",strassenbahn,"75,76","52.50540350310839, 13.330367559360592",nan,180,"75,76","Bhf. Zoo, Kantstrasse"
153,Biesdorf,s-bahn,KBS 101,"52.5131,13.5554",Q4892357,181,KBS 101,Berlin-Biesdorf station
154,Birkbuschstrasse Ecke Siemensstrasse,bus,A86,"52.4424390398498, 13.332082171164004",,,,
155,Birkenstrasse,u-bahn,G,"52.532222222222,13.341388888889",Q555998,,,
156,Birkenwerder,s-bahn,KBS 104,"52.6885,13.2888",Q2343634,182,KBS 104,Birkenwerder station
157,Bismarckplatz,bus,A29,"52.492064537089135, 13.28493897027407",nan,183,A29,Bismarckplatz
158,Bismarckstrasse Ecke Bergstrasse,bus,"A75,A68","52.45863794281251, 13.339298022918376",,,,
159,Bismarckstrasse Ecke Steglitzer Damm,bus,A33,"52.45103871422625, 13.337949524239141",,,,
160,Björnsonstrasse,strassenbahn,3,"52.5544232,13.4030585",Q65920495,186,3,nan
161,Blankenburg,s-bahn,"KBS 104,KBS 106","52.5915,13.4435",Q800469,187,KBS 106,Berlin-Blankenburg station
162,"Blankenburg, Bahnhofstrasse",bus,A42,"52.591380472079955, 13.453512267562314",nan,188,A42,"Blankenburg, Bahnhofstrasse Ecke Heinersdorfer Strasse"
163,"Blankenfelde, Hauptstrasse",bus,"A7,A7E","52.63002534735451, 13.38262328371393",nan,191,A7,"Blankenfelde, Hauptstrasse"
164,Blaschkoallee,u-bahn,C I,"52.451944444444,13.449444444444",Q666911,,,
165,Blaschkoallee Ecke Britzer Damm,bus,A91,"52.45261494085354, 13.438544655903872",,,,
166,Bleibtreustrasse Ecke Kurfürstendamm,bus,A69,"52.50160347596025, 13.319464110729676",nan,192,A69,nan
167,Blohmstrasse Ecke Wünsdorfer Strasse,bus,A76,"52.388693095651256, 13.394328971164002",nan,193,A76,nan
