,stop_id,stop_name,type,location,in_lines,identifier
1722,19841722,U-Bhf. Ruhleben,bus,"52.52596833151868, 13.241478578696297","{'80', '35', '56', '54', '5'}",nan
1723,19841723,U-Bhf. Rüdesheimer Platz,bus,"52.4720831087791, 13.314909778144818",{'17'},nan
1724,19841724,U-Bhf. Scharnweber Strasse,bus,"52.56723085204371, 13.311435188438125",{'21'},nan
1725,19841725,U-Bhf. Schlesisches Tor,bus,"52.50108419874335, 13.441971259873345",{'28'},nan
1726,19841726,U-Bhf. Schloßstrasse,bus,"52.46150696581942, 13.325033972730989","{'85', '86', '48', '17', '33'}",nan
1727,19841727,U-Bhf. Seestrasse,bus,"52.55034070697526, 13.35226808382855","{'12', '16'}",nan
1728,19841728,U-Bhf. Seestrasse/Müllerstrasse,bus,"52.5505075999816, 13.351976880647314",{'89'},nan
1729,19841729,U-Bhf. Siemensdamm,bus,"52.53611103819574, 13.273983136736893","{'55', '23', '72'}",nan
1730,19841730,U-Bhf. Sophie-Charlotte-Platz,bus,"52.51087342754732, 13.295551394633538",{'74'},nan
1731,19841731,U-Bhf. Stadtmitte,bus,"52.5104179669139, 13.389881304836392",{'59'},nan
1732,19841732,U-Bhf. Südstern,bus,"52.48911192041882, 13.407868588860385",{'28'},nan
1733,19841733,U-Bhf. Tegel,bus,"52.589503132547385, 13.283630715732999","{'13', 'E', '14', '15'}",nan
1734,19841734,U-Bhf. Tempelhof,bus,"52.4698750992553, 13.38558705982547","{'28', '68'}",nan
1735,19841735,U-Bhf. Theodor-Heuss-Platz,bus,"52.50993781856294, 13.272721616652856","{'4', '92', '94'}",nan
1736,19841736,U-Bhf. Thielplatz,bus,"52.45104520805668, 13.281736418792137",{'10'},nan
1737,19841737,U-Bhf. Tierpark,bus,"52.497052283755544, 13.523844554479213","{'53', '94', '96'}",nan
1738,19841738,U-Bhf. Tierpark,strassenbahn,"52.4967571,13.5240205","{'17', '19'}",Q65952907
1739,19841739,U-Bhf. Turmstrasse,bus,"52.52632424312701, 13.341455452869354","{'70', '72', '24', '90'}",nan
1740,19841740,U-Bhf. Uhlandstrasse,bus,"52.50265361682102, 13.325826367165941","{'9', '19'}",nan
1741,19841741,U-Bhf. Ullsteinstrasse,bus,"52.45276305061907, 13.384476319893118",{'25'},nan
1742,19841742,U-Bhf. Viktoria-Luise-Platz,bus,"52.496508390556265, 13.34426429497625",{'50'},nan
1743,19841743,U-Bhf. Voltastrasse,bus,"52.541952589312174, 13.393136811765974",{'90'},nan
1744,19841744,U-Bhf. Walther-Schreiber-Platz,bus,"52.46514662302568, 13.328471151123626","{'81', '76', '85', '86', '48', '17', '2'}",nan
1745,19841745,U-Bhf. Westphalweg,bus,"52.4456019528536, 13.38577421076825",{'33'},nan
1746,19841746,U-Bhf. Wilmersdorfer Strasse,bus,"52.506661932176044, 13.306708142985045","{'92'}, {'74', '94'}","nan, nan"
1747,19841747,U-Bhf. Wittenbergplatz,bus,"52.5021124880022, 13.343008123993497","{'73', '19'}",nan
