Line description,Stops,Frequency,Length (time),Length (km),year
41_bus_West,Rudow Stadtgrenze - U-Bhf. Rudow - Zwickauer Damm - Efeuweg - Lipschitzallee - Grüner Weg - Parchimer Allee - Blaschkoallee - Jahnstrasse/U-Bhf. Grenzallee - Naumburger Strasse - Grenzallee - Saalestrasse - Erkstrasse - Reuterstrasse - Hermannplatz - Schönleinstrasse/U-Bhf. Kottbusser Damm - U-Bhf. Kottbusser Tor - Oranienplatz - U-Bhf. Moritzplatz - Alexandrinenstrasse - Alte Jakobstrasse - Lindenstrasse - Neuenburger Strasse - Gitschiner Strasse - U-Bhf. Hallesches Tor,12,58,,1976
42_bus_Ost,"Buch - Karower Strasse - Erekweg - Alt-Karow - Blankenburg - Heinerdorf, Kirche - Prenzlauer Promenade - Ostseestrasse",8,31,,1976
43_bus_Ost,Bürknersfelde - Stadtberg - Bhf. Springpfuhl - S-Bhf. Friedrichsfelde Ost - Am Tierpark - U-Bhf. Friedrichsfelde - Hans-Loch-Strasse - S-Bhf. Nöldnerplatz,10,26,,1976
44_bus_Ost,"Hönow, Dorf - Berliner Chaussee - Am Barschsee - Thälmannstrasse - Greifswalder Strasse - Am Rosenhag - Karlshafener Strasse - Linderhofstrasse - S-Bhf. Mahlsdorf",20,12,,1976
44E_bus_Ost,S-Bhf. Mahlsdorf - Am Rosenhag - An den Siedlergärten - Hönower Strasse - Am Rosenhag - S-Bhf. Mahlsdorf,20,16,,1976
45_bus_Ost,"Wilhelmsruh, Schillerstrasse - Edelweißstrasse - Heinrich-Mann-Platz - Pankow, Rathaus - Pankow, Kirche - S-Bhf. Pankow - Prenzlauer Promenade - Am Steinberg - Hamburger Platz - Klement-Gottwald-Allee - Lichtenberger Strasse - Rennbahnstrasse - Schwarzelfenweg",12,38,,1976
46_strassenbahn_Ost,"Nordend - Kurt-Fischer-Platz - Pankow, Rathaus - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Pankow - S-Bhf. Schönhauser Allee - U-Bhf. Dimitroffstrasse - Brunnenstrasse - Oranienburger Tor - Bhf. Friedrichstrasse - Am Kupfergraben",15,45,,1976
47_bus_Ost,"Bhf. Schöneweide - Königsheideweg - Johannisthaler Chaussee - S-Bhf. Baumschulenweg - Treptow, Rathaus - S-Bhf. Treptower Park - Treptow, Eichenstrasse",15,28,,1976
48_bus_Ost,Richard-Sorge-Strasse - S-Bhf. Leninallee - Ho Chi-Minh-Strasse - Gensletstrasse - Plauener strasse - Gärtnerstrasse - Chemie-Handel,15,21,,1976
48_bus_West,Zehlendorf Fischerhüttenstrasse  E. Potsdamer Strasse - Potsdamer Strasse - Teltower Damm - Berliner Strasse - Seehofstrasse - Sundgauer Strasse - Dahlemer Weg - Drakestrasse - Wrangelstrasse - U-Bhf. Rathaus Steglitz - U-Bhf. Schloßstrasse - U-Bhf. Walther-Schreiber-Platz - Kaisereiche - Breslauer Platz/Rathaus Friedenau - U-Bhf. Innsbrucker Platz - Dominicusstrasse - Albertstrasse - Kaiser-Wilhelm-Platz - U-Bhf. Kleistpark - Goebenstrasse - Bülowstrasse - U-Bhf. Kurfürstenstrasse - Lützowstrasse - Potsdamer Brücke - Tiergartenstrasse Philharmonie,12,39,,1976
49_strassenbahn_Ost,"Bucholz, Hauptstrasse - Rosenthaler Strasse - S-Bhf. Pankow-Heinersdorf - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Pankow - S-Bhf. Schönhauser Allee - U-Bhf. Dimitroffstrasse - Rosenthaler Platz - Hackescher Markt",15,40,,1976
