,stop_name,type,location,in_lines,identifier,east-west
1202,Turmstrasse/Rathenower Strasse,bus,"52.52677998083022, 13.355183467556872",A70,,West
1203,U-Bhf Kottbusser Tor,bus,"52.499051258453434, 13.418359009880978",A28,,West
1204,U-Bhf. Boddinstrasse,bus,"52.48028651973042, 13.425279574612379",A4,,West
1205,U-Bhf. Boddinstrasse,strassenbahn,"52.48027865367161, 13.4251690465859",27,,West
1206,U-Bhf. Bülowstrasse,bus,"52.49787469517453, 13.362124599310649","A48,A75",,West
1207,U-Bhf. Bülowstrasse,strassenbahn,"52.4977947071403, 13.362041491653272","73,74",,West
1208,U-Bhf. Dahlem-Dorf,bus,"52.45807069736877, 13.289706947871178",A68,,West
1209,U-Bhf. Dimitroffstrasse,strassenbahn,"52.5401928,13.4113979","70,49,22,4,46,13",Q65088313,Ost
1210,U-Bhf. Ernst-Reuter-Platz,bus,"52.51164603099566, 13.322290858670174","A25,A62,AS1",,West
1211,U-Bhf. Ernst-Reuter-Platz,strassenbahn,"52.511726576083134, 13.32260139821175",55,,West
1212,U-Bhf. Fehrbelliner Platz,bus,"52.490390927187676, 13.31417745809863","A1,A4,A21,AS3",,West
1213,U-Bhf. Flughafen,bus,"52.48488595983176, 13.38599654703171","A19,A4",,West
1214,U-Bhf. Flughafen,strassenbahn,"52.484779980367215, 13.385962227231367",96,,West
1215,U-Bhf. Friedrichsfelde,bus,"52.50624112361932, 13.512853060220209","A43,A8,A8E",,Ost
1216,U-Bhf. Gesundbrunnen,bus,"52.548660755358114, 13.387873629581087","A14,A64",,West
1217,U-Bhf. Grenzallee,bus,"52.46369510254238, 13.444231731166557",A67,,West
1218,U-Bhf. Grenzallee,strassenbahn,"52.46348178875844, 13.444377273631815",47,,West
1219,U-Bhf. Hallesches Tor,bus,"52.497910015148264, 13.391307667735301",A24,,West
1220,U-Bhf. Heidelberg Platz,bus,"52.48042873572808, 13.31278632857391",A65,,West
1221,U-Bhf. Heidelberger Platz,bus,"52.48006162214815, 13.312159920359697",A60,,West
1222,U-Bhf. Kaiserdamm,bus,"52.50999451351762, 13.28180313022396","A65,A10",,West
1223,U-Bhf. Kochstrasse,bus,"52.50669823641868, 13.390503218886558",A75,,West
1224,U-Bhf. Kottbusser Tor,bus,"52.499122758255055, 13.4182411702772",A67,,West
1225,U-Bhf. Krumme Lanke,bus,"52.44308074990891, 13.24046555211665","A3,A53",,West
1226,U-Bhf. Kurt-Schumacher-Platz,bus,"52.56338157214657, 13.32719915637487","A61,A62",,West
1227,U-Bhf. Leinestrasse,strassenbahn,"52.473591021401894, 13.428015562483331",27,,West
1228,U-Bhf. Leopold-Platz,bus,"52.54640033291444, 13.359096803326494",A12,,West
1229,U-Bhf. Moritzplatz,bus,"52.50366899509004, 13.41055755394872",A75,,West
1230,U-Bhf. Neukölln,strassenbahn,"52.46965567921364, 13.441614939772098","15,47,26",,West
1231,U-Bhf. Onkel-Toms-Hütte,bus,"52.45007713385221, 13.251272593463492","A3,A66",,West
1232,U-Bhf. Oskar-Helene-Heim,bus,"52.450279005868815, 13.270361987159156","A1,A11,AS3,A3,A18",,West
1233,U-Bhf. Prinzenstrasse,bus,"52.49844153838657, 13.406643837212261",A28,,West
1234,U-Bhf. Ruhleben,bus,"52.52596833151868, 13.241478578696297","AS1,A5,A31",,West
1235,U-Bhf. Ruhleben,strassenbahn,"52.52595776615238, 13.241371866188729","53,54",,West
1236,U-Bhf. Rüdesheimer Platz,bus,"52.4720831087791, 13.314909778144818",A17,,West
1237,"U-Bhf. Scharnweberstrasse, Sportplatz",bus,"52.56792223040469, 13.311949805424875",A61,,West
1238,U-Bhf. Schlesisches Tor,bus,"52.50108419874335, 13.441971259873345",A28,,West
1239,U-Bhf. Seestrasse,bus,"52.550315408708514, 13.352298502985231","A12,A16",,West
1240,U-Bhf. Seestrasse,strassenbahn,"52.5502459,13.3516304",3,Q65729619,West
1241,U-Bhf. Strausberger Platz,strassenbahn,"52.51808306742478, 13.432938339097822",1,,Ost
1242,U-Bhf. Südstern,strassenbahn,"52.48899443353793, 13.40800672025058",3,,West
1243,U-Bhf. Tegel,bus,"52.589503132547385, 13.283630715732999","A15,A20,A14,A13",,West
1244,U-Bhf. Tempelhof,bus,"52.4698750992553, 13.38558705982547","A77,A76",,West
1245,U-Bhf. Thielplatz,bus,"52.45104520805668, 13.281736418792137",A10,,West
1246,U-Bhf. Vinetastrasse,bus,"52.55981894046453, 13.413208628380339",A7,,Ost
1247,U-Bhf. Vinetastrasse,strassenbahn,"52.5596168,13.413232","46,49,22",Q65075426,Ost
1248,Uckermarkstrasse,bus,"52.52145144349922, 13.596724604247981",A49,,Ost
1249,Uhlandstrasse,bus,"52.49368292097469, 13.323611381015645",A50,,West
1250,Uhlandstrasse,bus,"52.50252020955797, 13.325204349014482",A29,,West
1251,Uhlandstrasse Ecke Kurfürstendamm,bus,"52.502532428867724, 13.325280453057784",A69,,West
1252,Ulmenstrasse,bus,"52.48730877811447, 13.574932033917504",A27,,Ost
1253,Unionplatz,bus,"52.533059397499464, 13.337278814540305",A25,,West
1254,Unter den Eichen Ecke Drakestrasse,bus,"52.445733691746746, 13.293722374035292",A11,,West
1255,Unter den Eichen Ecke Habelschwerdter Allee,bus,"52.44576670649539, 13.293707828835997",A11,,West
1256,Urban-Krankenhause,bus,"52.493469358698874, 13.406245116325284",A28,,West
1257,Usedomer Strasse,bus,"52.541120501957316, 13.393769565044664",A71,,West
1258,VEB Bautransporte,bus,"52.44295541604966, 13.519519091051876",A26,,Ost
1259,VEB Schiffswerft,strassenbahn,"52.42547977761138, 13.586220039541647",83,,Ost
1260,Velten (Mark),s-bahn,"52.685,13.172222",KBS 105,Q19274518,Ost
1261,Verwaltungs-Gebäude,bus,"52.537063326963775, 13.262285169635492",A10,,West
1262,Viersener Strasse,bus,"52.54020417705652, 13.17462661157195",A63,,West
1263,Viersener Strasse,bus,"52.54873823655914, 13.17802517662475",A5,,West
1264,Viktoria-Luise-Platz,u-bahn,"52.496161111111,13.342702777778",B III,Q178685,West
1265,Virchow-Krankenhaus,bus,"52.54371513062133, 13.339317916518894",A16,,West
1266,Vogelsang,bus,"52.45939482396207, 13.280296976660761",A68,,West
1267,Voltastr.,u-bahn,"52.542093,13.393022",D,Q663308,West
1268,Voltastrasse Ecke Watt Strasse,strassenbahn,"52.54152997238806, 13.389571756575245",2,,West
1269,Waidmannslust,s-bahn,"52.6064,13.321",KBS 106,Q800492,West
1270,Waldemarplatz,bus,"52.43775537029681, 13.220189780766606",A53,,West
1271,Waldemarstrasse,bus,"52.50326279588436, 13.420631417701001",A28,,West
1272,Walderseestrasse,bus,"52.575655932178144, 13.228965833395124",A20,,West
1273,"Waldesruh, Malhlsdorfer Allee",bus,"52.48493120102871, 13.629069441163518",A8,,Ost
1274,Waldfriedhof,bus,"52.42599572508999, 13.209246048971062",A18,,West
1275,Waldkrankenhaus,bus,"52.56214542863615, 13.158340085815741",A5,,West
1276,Waldschänke,bus,"52.443318139967566, 13.68593963431219",A22,,Ost
1277,Waldstrasse,bus,"52.60193428053164, 13.306047505406614","A1,A20",,West
1278,Waldstrasse Ecke Turmstrasse,bus,"52.52723999918061, 13.33057857025633","A72, A1",,West
1279,Waldstrasse/Gotzkowskystrasse,bus,"52.52721622390326, 13.330524512340718",A70,,West
1280,Walterdorfer Chaussee (Spinne),bus,"52.41568773699451, 13.496540075011389","S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)",,Ost
1281,Waltersdorf,bus,"52.36492901110609, 13.555712408051676",A38,,Ost
1282,Waltersdorfer Chaussee (Spinne),bus,"52.392853002264665, 13.522677096747554",AD/36,,Ost
1283,Waltersforder Chaussee (Spinne),bus,"52.392853002264665, 13.522677096747554",AZ,,Ost
1284,Wannsee,Fähre,"52.421928022812146, 13.175815964118582",Wannsee<>Kladow (Betrieb durch Stern und Kreisschiffahrt),,West
1285,Wannsee,s-bahn,"52.4214,13.1792","KBS 104,KBS 102",Q111325896,West
1286,Warnem nder Strasse,bus,"52.47539576569938, 13.290488880070722",A17,,West
1287,Warnemünder/Berkaer Strasse,bus,"52.47543626291202, 13.290288437340868",A60,,West
1288,Warschauer Brücke,strassenbahn,"52.506746741445006, 13.449684491939852","3,4",,Ost
1289,Warschauer Str.,s-bahn,"52.506416666667,13.450955555556","KBS 101,KBS 103,KBS 102",Q111252298,Ost
1290,Warschauer Strasse,bus,"52.512432267445355, 13.452598837307189",O30,,Ost
1291,Warschauer Strasse,strassenbahn,"52.50502,13.44863","3,4,82",Q63490275,Ost
1292,"Wartenberg, Dorfstrasse",bus,"52.57484089632958, 13.518020972979759",A39,,Ost
1293,"Wartenberg, Siedlung",bus,"52.58393195902164, 13.53076033685478",A39,,Ost
1294,Wasserwerk,strassenbahn,"52.4560563,13.6419956",87,Q66362601,Ost
1295,"Waßmannsdorf, Warteh.",bus,"52.37269773285082, 13.465032652682668",AZ,,Ost
1296,Wedding,s-bahn,"52.5425,13.3661",KBS 100,Q638604,West
1297,Weddingplatz,bus,"52.54113612364086, 13.368501029385115","A70,A72",,West
1298,Weddingplatz,strassenbahn,"52.54152535588228, 13.369198549039789",2,,West
1299,Weichselstrasse,strassenbahn,"52.48313752772782, 13.431480309407663","47,26",,West
1300,Weinmeisterhornweg,bus,"52.50924681744358, 13.180314851039075","A34,A35",,West
1301,Weinmeisterhornweg,bus,"52.511043998847086, 13.171645488962428",A13,,West
1302,"Weißensee, Liebermannstrasse Ecke Piesporter Strasse",bus,"52.56056756076504, 13.477555745782263",A55,,Unknown
1303,"Weißensee, Nüßlerstrasse",bus,"52.56398537909407, 13.469733771213992",A56,,Ost
1304,"Weißensee, Pasedagplatz",strassenbahn,"52.5594027,13.4609594","72, 74","Q65954665, Q65954665",Ost
1305,"Weißensee, Schwarzelfenweg",bus,"52.56729838338304, 13.46535452978551",A45,,Ost
1306,Weißenseer Weg,bus,"52.53305919668049, 13.476252837088406",O37,,Ost
1307,Weißenseer Weg,strassenbahn,"52.532258,13.476705","64,63",Q65942700,Ost
1308,Wendenschloß Ecke Ekhofstrasse,strassenbahn,"52.41633000736971, 13.589690772826726",83,,Ost
1309,Wentowsteig,bus,"52.59694371557204, 13.360462949429833",A21,,West
1310,Wernerwerk,s-bahn,"52.534863,13.27599",KBS 100c,Q96077001,West
1311,Westend,s-bahn,"52.5181,13.2844",KBS 100,Q323214,West
1312,Westkreuz,s-bahn,"52.5011,13.2839","KBS 101,KBS 102,KBS 100",Q678125,West
1313,"Weverstrasse, Strassenbahnhof",strassenbahn,"52.51946975407937, 13.19781896484702","75,76",,West
1314,Wichertstrasse Ecke Prenzlauer Allee,bus,"52.54571094901922, 13.42782494047603",A56,,Unknown
1315,Wiebestrasse,bus,"52.53119512537686, 13.319063771537584",A24,,West
1316,Wiebestrasse Ecke Kaiserin-Augusta-Allee,bus,"52.52580214309624, 13.317979171208343",A72,,West
1317,Wiebestrasse Ecke Kaiserin-Augusta-Allee,strassenbahn,"52.52581805493254, 13.31804267301598",3,,West
1318,"Wiebestrasse, Strassenbahnhof",bus,"52.53066666255053, 13.319314794959219",A70,,West
1319,Wiener Brücke,bus,"52.49588477409083, 13.43650068505988",A75,,West
1320,Wiener Brücke,strassenbahn,"52.49588477409083, 13.43650068505988","92,87",,West
1321,Wiesbadener Strasse,bus,"52.47164544021605, 13.319516803491332",A16,,West
1322,Wiesenbaude,bus,"52.430495242672045, 13.31180861060395",A11,,West
1323,Wiesenbaude,strassenbahn,"52.43330952304924, 13.307272184416341","73,74",,West
1324,Wiesenstrasse,bus,"52.54763571080132, 13.373871074090278",A70,,West
1325,Wildau,s-bahn,"52.32,13.634",KBS 103,Q8000974,Ost
1326,Wilderbruchstrasse Ecke Sonnenallee,strassenbahn,"52.48172850402205, 13.440160266547615",3,,West
1327,Wildmeisterdamm,bus,"52.425839839495815, 13.48325607958456",A52,,West
1328,Wildmeisterdamm,strassenbahn,"52.426124062490864, 13.48276594555747",47,,West
1329,Wilhelminenhof- Ecke Edisonstrasse,strassenbahn,"52.4619496,13.5139049","82, 87","Q65951882, Q65951882",Ost
1330,Wilhelminenhofstrasse,strassenbahn,"52.460837970970566, 13.521054382869073",69,,Ost
1331,Wilhelmshagen,s-bahn,"52.4386,13.7222",KBS 102,Q800494,Ost
1332,Wilhelmsruh,s-bahn,"52.5814,13.3631",KBS 106,Q800495,West
1333,"Wilhelmsruh, Fontanestrasse",bus,"52.58985938767378, 13.361193570257216","A55,A45",,Ost
1334,Wilhelmstrasse,bus,"52.43057879952989, 13.318592903820731",A17,,West
1335,Wilhelmstrasse Ecke Pichelsdorferstrasse,bus,"52.527959605404874, 13.195282802302891","A35,A34",,West
1336,Wilmersdorf,s-bahn,"52.477658333333,13.328525","KBS 100a,KBS 100",Q464094,West
1337,Wilmersdorfer Strasse,bus,"52.499967660537735, 13.306987838785277","A19,A29",,West
1338,Wilmersdorfer Strasse,strassenbahn,"52.506692000645316, 13.306692426875525","75,76",,West
1339,Wilmersdorfer Strasse Ecke Kurfürstendamm,bus,"52.50002844680595, 13.307125123915897",A69,,West
1340,Wilmersdorfer Strasse Ecke Kurfürstendamm,strassenbahn,"52.500032680363084, 13.307221456574052",3,,West
1341,Wilmersdorfer Strasse Ecke Otto-Suhr-Alle,strassenbahn,"52.518112442546, 13.304359726984016",3,,West
1342,Winfriedstrasse,bus,"52.437562011852606, 13.269450173477841",AS3,,West
1343,Winifriedstrasse Ecke Clayallee,bus,"52.439229231714734, 13.262871381887154",A3,,West
1344,Wismarer Strasse,bus,"52.42195191841697, 13.2985053942209",A1,,West
1345,Wismarer Strasse,strassenbahn,"52.42195291492597, 13.29850599537737",77,,West
1346,Wismarer Strasse Ecke Ostpreußendamm,strassenbahn,"52.41786193949108, 13.305195152904869",96,,West
1347,Wittenau,bus,"52.596084138285406, 13.332857679505645",A62,,West
1348,Wittenau (Kremmener Bahn),s-bahn,"52.597013,13.334329",KBS 105,Q111264319,West
1349,Wittenau (Nordbahn),s-bahn,"52.597013,13.334329",KBS 106,Q111264319,West
1350,Wittenbergplatz,bus,"52.50188939146253, 13.342697883756577","A73,A60,A62,A29,A19",,West
1351,Wittenbergplatz,strassenbahn,"52.50185025953713, 13.343098350806866","2,55,77,78",,West
1352,Wittenbergplatz,u-bahn,"52.501944444444,13.343055555556","A II,A I,B II,B I",Q692727,West
1353,Witzleben,s-bahn,"52.5078,13.2836",KBS 100,Q321266,West
1354,Wolburgsweg,bus,"52.550616013150325, 13.16810722103831",A5,,West
1355,Wollankstr.,s-bahn,"52.5651525,13.3923627","KBS 105,KBS 106",Q800515,West
1356,Woltersdorfer Schleuse,bus,"52.4427723984596, 13.764524016423056",S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),,Ost 
1357,Wolzogenstrasse,bus,"52.43229985926568, 13.235719207112487",A18,,West
1358,Wongrowitzer Strasse,bus,"52.46658608823203, 13.584839227863949",A27,,Ost
1359,Wuhlheide,s-bahn,"52.4689,13.5533",KBS 102,Q800514,Ost
1360,Yorckstr.,s-bahn,"52.491777777778,13.372141666667","KBS 105,KBS 106",Q21776729,West
1361,Yorckstrasse,bus,"52.49358813377981, 13.384967556749217",A28,,West
1362,Yorckstrasse,strassenbahn,"52.492901206042376, 13.387766831697483",96,,West
1363,Zabel-Krüger-Damm,bus,"52.60786610541416, 13.323845802997752",A12,,West
1364,Zappoter/Oeynhauser Strasse,bus,"52.47331132628728, 13.298669291589876",A60,,West
1365,Zehlendorf,s-bahn,"52.4309,13.2584","KBS 104,KBS 104a",Q737962,West
1366,Zentralschule,bus,"52.43465069286089, 13.703692212644038",A22,,Ost
1367,Zentralviehhof,s-bahn,"52.5238,13.4644","KBS 103a,KBS 106",Q800512,Ost
1368,Zepernick (b Bernau),s-bahn,"52.6598,13.5342",KBS 106,Q801657,Ost
1369,Zeuthen,s-bahn,"52.3486,13.6274",KBS 103,Q8069824,Ost
1370,"Ziegenhals, VA Dienststelle",bus,"52.3470916280972, 13.664196000865504",Schmöckwitz<>Ziegenhals (VEB Kraftverkehr Schöneiche-Rüdersdorf),,Ost
1371,Ziekowstrasse,bus,"52.59059426195262, 13.292011153010927",A14,,West
1372,Zitadellenweg,strassenbahn,"52.5377758132997, 13.217204249093342",55,,West
1373,ZobeltitzStrasse,bus,"52.56898257894375, 13.317202802475165",A61,,West
1374,Zoologischer Garten,s-bahn,"52.507222222222,13.3325","KBS 101,KBS 102",Q111326238,West
1375,Zoologischer Garten,u-bahn,"52.5058669,13.3330236","A I,B I",Q4024764,West
1376,Zossener Strasse,bus,"52.49160676567746, 13.394443897793668",A28,,West
1377,Zossener Strasse Ecke Blücherstrasse,strassenbahn,"52.49622054069677, 13.395106811633234",95,,West
1378,Zum Heckeshorn,bus,"52.43307505069834, 13.164008736441371",A51,,West
1379,ZweiBrücker Strasse,bus,"52.54677409100436, 13.188764018875105",A63,,West
